district,year,season,ndvi
Ariyalur,2022,Kharif,0.528
Ariyalur,2022,Rabi,0.43
Ariyalur,2022,Zaid,0.4483
Ariyalur,2023,Kharif,0.5467
Ariyalur,2023,Rabi,0.4965
Ariyalur,2023,Zaid,0.491
Chengalpattu,2003,Kharif,0.5328
Chengalpattu,2003,Rabi,0.5103
Chengalpattu,2003,Zaid,0.4966
Chengalpattu,2004,Kharif,0.5146
Chengalpattu,2004,Rabi,0.4262
Chengalpattu,2004,Zaid,0.4776
Chengalpattu,2005,Kharif,0.5003
Chengalpattu,2005,Rabi,0.5432
Chengalpattu,2005,Zaid,0.5077
Chengalpattu,2006,Kharif,0.5955
Chengalpattu,2006,Rabi,0.502
Chengalpattu,2006,Zaid,0.4625
Chengalpattu,2007,Kharif,0.5362
Chengalpattu,2007,Rabi,0.4276
Chengalpattu,2007,Zaid,0.4966
Chengalpattu,2008,Kharif,0.521
Chengalpattu,2008,Rabi,0.5263
Chengalpattu,2008,Zaid,0.4718
Chengalpattu,2009,Kharif,0.4905
Chengalpattu,2009,Rabi,0.5018
Chengalpattu,2009,Zaid,0.4852
Chengalpattu,2010,Kharif,0.5439
Chengalpattu,2010,Rabi,0.4608
Chengalpattu,2010,Zaid,0.4426
Chengalpattu,2011,Kharif,0.5016
Chengalpattu,2011,Rabi,0.4598
Chengalpattu,2011,Zaid,0.4206
Chengalpattu,2012,Kharif,0.5797
Chengalpattu,2012,Rabi,0.3919
Chengalpattu,2012,Zaid,0.412
Chengalpattu,2013,Kharif,0.4679
Chengalpattu,2013,Rabi,0.4706
Chengalpattu,2013,Zaid,0.4294
Chengalpattu,2014,Kharif,0.4916
Chengalpattu,2014,Rabi,0.4164
Chengalpattu,2014,Zaid,0.4119
Chengalpattu,2015,Kharif,0.4997
Chengalpattu,2015,Rabi,0.4925
Chengalpattu,2015,Zaid,0.557
Chengalpattu,2016,Kharif,0.5247
Chengalpattu,2016,Rabi,0.5423
Chengalpattu,2016,Zaid,0.4388
Chengalpattu,2017,Kharif,0.5009
Chengalpattu,2017,Rabi,0.5798
Chengalpattu,2017,Zaid,0.4797
Chengalpattu,2018,Kharif,0.6009
Chengalpattu,2018,Rabi,0.4563
Chengalpattu,2018,Zaid,0.4408
Chengalpattu,2019,Kharif,0.5745
Chengalpattu,2019,Rabi,0.4363
Chengalpattu,2019,Zaid,0.3913
Chengalpattu,2020,Kharif,0.5681
Chengalpattu,2020,Rabi,0.5503
Chengalpattu,2020,Zaid,0.444
Chengalpattu,2021,Kharif,0.4719
Chengalpattu,2021,Rabi,0.4553
Chengalpattu,2021,Zaid,0.3798
Chengalpattu,2022,Kharif,0.4419
Chengalpattu,2022,Rabi,0.4372
Chengalpattu,2022,Zaid,0.4202
Chengalpattu,2023,Kharif,0.5257
Chengalpattu,2023,Rabi,0.5271
Chengalpattu,2023,Zaid,0.4551
Chennai,2003,Kharif,0.5557
Chennai,2003,Rabi,0.4413
Chennai,2003,Zaid,0.4093
Chennai,2004,Kharif,0.5429
Chennai,2004,Rabi,0.4973
Chennai,2004,Zaid,0.4281
Chennai,2005,Kharif,0.5795
Chennai,2005,Rabi,0.4982
Chennai,2005,Zaid,0.4817
Chennai,2006,Kharif,0.5151
Chennai,2006,Rabi,0.4431
Chennai,2006,Zaid,0.4367
Chennai,2007,Kharif,0.5357
Chennai,2007,Rabi,0.5007
Chennai,2007,Zaid,0.4693
Chennai,2008,Kharif,0.58
Chennai,2008,Rabi,0.464
Chennai,2008,Zaid,0.4775
Chennai,2009,Kharif,0.5778
Chennai,2009,Rabi,0.498
Chennai,2009,Zaid,0.437
Chennai,2010,Kharif,0.5833
Chennai,2010,Rabi,0.5353
Chennai,2010,Zaid,0.3799
Chennai,2011,Kharif,0.6233
Chennai,2011,Rabi,0.5213
Chennai,2011,Zaid,0.428
Chennai,2012,Kharif,0.5212
Chennai,2012,Rabi,0.5416
Chennai,2012,Zaid,0.4734
Chennai,2013,Kharif,0.4878
Chennai,2013,Rabi,0.424
Chennai,2013,Zaid,0.4682
Chennai,2014,Kharif,0.4686
Chennai,2014,Rabi,0.5086
Chennai,2014,Zaid,0.4067
Chennai,2015,Kharif,0.5236
Chennai,2015,Rabi,0.4371
Chennai,2015,Zaid,0.4225
Chennai,2016,Kharif,0.6046
Chennai,2016,Rabi,0.5048
Chennai,2016,Zaid,0.4781
Chennai,2017,Kharif,0.5334
Chennai,2017,Rabi,0.4462
Chennai,2017,Zaid,0.4413
Chennai,2018,Kharif,0.4858
Chennai,2018,Rabi,0.4484
Chennai,2018,Zaid,0.4309
Chennai,2019,Kharif,0.5327
Chennai,2019,Rabi,0.4767
Chennai,2019,Zaid,0.4138
Chennai,2020,Kharif,0.5161
Chennai,2020,Rabi,0.45
Chennai,2020,Zaid,0.3995
Chennai,2021,Kharif,0.4928
Chennai,2021,Rabi,0.4186
Chennai,2021,Zaid,0.3784
Chennai,2022,Kharif,0.56
Chennai,2022,Rabi,0.5371
Chennai,2022,Zaid,0.4696
Chennai,2023,Kharif,0.4873
Chennai,2023,Rabi,0.491
Chennai,2023,Zaid,0.4486
Coimbatore,2003,Kharif,0.6924
Coimbatore,2003,Rabi,0.6116
Coimbatore,2003,Zaid,0.5323
Coimbatore,2004,Kharif,0.74
Coimbatore,2004,Rabi,0.6141
Coimbatore,2004,Zaid,0.6224
Coimbatore,2005,Kharif,0.6665
Coimbatore,2005,Rabi,0.6237
Coimbatore,2005,Zaid,0.507
Coimbatore,2006,Kharif,0.6653
Coimbatore,2006,Rabi,0.6633
Coimbatore,2006,Zaid,0.5283
Coimbatore,2007,Kharif,0.6235
Coimbatore,2007,Rabi,0.6353
Coimbatore,2007,Zaid,0.5852
Coimbatore,2008,Kharif,0.6694
Coimbatore,2008,Rabi,0.5503
Coimbatore,2008,Zaid,0.5447
Coimbatore,2009,Kharif,0.6129
Coimbatore,2009,Rabi,0.625
Coimbatore,2009,Zaid,0.617
Coimbatore,2010,Kharif,0.6922
Coimbatore,2010,Rabi,0.6385
Coimbatore,2010,Zaid,0.5172
Coimbatore,2011,Kharif,0.7529
Coimbatore,2011,Rabi,0.6146
Coimbatore,2011,Zaid,0.5945
Coimbatore,2012,Kharif,0.6701
Coimbatore,2012,Rabi,0.6545
Coimbatore,2012,Zaid,0.6287
Coimbatore,2013,Kharif,0.7109
Coimbatore,2013,Rabi,0.6847
Coimbatore,2013,Zaid,0.5616
Coimbatore,2014,Kharif,0.6707
Coimbatore,2014,Rabi,0.5519
Coimbatore,2014,Zaid,0.5144
Coimbatore,2015,Kharif,0.7023
Coimbatore,2015,Rabi,0.5936
Coimbatore,2015,Zaid,0.56
Coimbatore,2016,Kharif,0.6557
Coimbatore,2016,Rabi,0.614
Coimbatore,2016,Zaid,0.5521
Coimbatore,2017,Kharif,0.6369
Coimbatore,2017,Rabi,0.6987
Coimbatore,2017,Zaid,0.5531
Coimbatore,2018,Kharif,0.6476
Coimbatore,2018,Rabi,0.5509
Coimbatore,2018,Zaid,0.5767
Coimbatore,2019,Kharif,0.6619
Coimbatore,2019,Rabi,0.5832
Coimbatore,2019,Zaid,0.4855
Coimbatore,2020,Kharif,0.6728
Coimbatore,2020,Rabi,0.624
Coimbatore,2020,Zaid,0.5692
Coimbatore,2021,Kharif,0.6268
Coimbatore,2021,Rabi,0.5781
Coimbatore,2021,Zaid,0.5671
Coimbatore,2022,Kharif,0.6701
Coimbatore,2022,Rabi,0.57
Coimbatore,2022,Zaid,0.668
Coimbatore,2023,Kharif,0.678
Coimbatore,2023,Rabi,0.5777
Coimbatore,2023,Zaid,0.6431
Cuddalore,2003,Kharif,0.5913
Cuddalore,2003,Rabi,0.6208
Cuddalore,2003,Zaid,0.5943
Cuddalore,2004,Kharif,0.6589
Cuddalore,2004,Rabi,0.6842
Cuddalore,2004,Zaid,0.6188
Cuddalore,2005,Kharif,0.684
Cuddalore,2005,Rabi,0.7517
Cuddalore,2005,Zaid,0.5848
Cuddalore,2006,Kharif,0.7266
Cuddalore,2006,Rabi,0.6015
Cuddalore,2006,Zaid,0.5107
Cuddalore,2007,Kharif,0.6069
Cuddalore,2007,Rabi,0.5896
Cuddalore,2007,Zaid,0.6363
Cuddalore,2008,Kharif,0.6399
Cuddalore,2008,Rabi,0.5961
Cuddalore,2008,Zaid,0.5643
Cuddalore,2009,Kharif,0.7237
Cuddalore,2009,Rabi,0.59
Cuddalore,2009,Zaid,0.5951
Cuddalore,2010,Kharif,0.6865
Cuddalore,2010,Rabi,0.6378
Cuddalore,2010,Zaid,0.4885
Cuddalore,2011,Kharif,0.7087
Cuddalore,2011,Rabi,0.663
Cuddalore,2011,Zaid,0.6062
Cuddalore,2012,Kharif,0.653
Cuddalore,2012,Rabi,0.5938
Cuddalore,2012,Zaid,0.5185
Cuddalore,2013,Kharif,0.6334
Cuddalore,2013,Rabi,0.6635
Cuddalore,2013,Zaid,0.48
Cuddalore,2014,Kharif,0.6854
Cuddalore,2014,Rabi,0.5933
Cuddalore,2014,Zaid,0.6084
Cuddalore,2015,Kharif,0.7003
Cuddalore,2015,Rabi,0.5728
Cuddalore,2015,Zaid,0.5872
Cuddalore,2016,Kharif,0.6894
Cuddalore,2016,Rabi,0.6129
Cuddalore,2016,Zaid,0.5438
Cuddalore,2017,Kharif,0.706
Cuddalore,2017,Rabi,0.5319
Cuddalore,2017,Zaid,0.5886
Cuddalore,2018,Kharif,0.6421
Cuddalore,2018,Rabi,0.5659
Cuddalore,2018,Zaid,0.5785
Cuddalore,2019,Kharif,0.6167
Cuddalore,2019,Rabi,0.6103
Cuddalore,2019,Zaid,0.5666
Cuddalore,2020,Kharif,0.716
Cuddalore,2020,Rabi,0.6495
Cuddalore,2020,Zaid,0.5137
Cuddalore,2021,Kharif,0.7368
Cuddalore,2021,Rabi,0.6076
Cuddalore,2021,Zaid,0.5513
Cuddalore,2022,Kharif,0.6619
Cuddalore,2022,Rabi,0.5781
Cuddalore,2022,Zaid,0.6411
Cuddalore,2023,Kharif,0.7274
Cuddalore,2023,Rabi,0.57
Cuddalore,2023,Zaid,0.5261
Dharmapuri,2003,Kharif,0.462
Dharmapuri,2003,Rabi,0.4637
Dharmapuri,2003,Zaid,0.362
Dharmapuri,2004,Kharif,0.4181
Dharmapuri,2004,Rabi,0.3944
Dharmapuri,2004,Zaid,0.3537
Dharmapuri,2005,Kharif,0.4047
Dharmapuri,2005,Rabi,0.3463
Dharmapuri,2005,Zaid,0.3582
Dharmapuri,2006,Kharif,0.4627
Dharmapuri,2006,Rabi,0.4201
Dharmapuri,2006,Zaid,0.3614
Dharmapuri,2007,Kharif,0.4395
Dharmapuri,2007,Rabi,0.3553
Dharmapuri,2007,Zaid,0.3324
Dharmapuri,2008,Kharif,0.4224
Dharmapuri,2008,Rabi,0.3578
Dharmapuri,2008,Zaid,0.3469
Dharmapuri,2009,Kharif,0.4966
Dharmapuri,2009,Rabi,0.3539
Dharmapuri,2009,Zaid,0.2964
Dharmapuri,2010,Kharif,0.3709
Dharmapuri,2010,Rabi,0.4036
Dharmapuri,2010,Zaid,0.3756
Dharmapuri,2011,Kharif,0.3861
Dharmapuri,2011,Rabi,0.3583
Dharmapuri,2011,Zaid,0.3615
Dharmapuri,2012,Kharif,0.4232
Dharmapuri,2012,Rabi,0.2994
Dharmapuri,2012,Zaid,0.3211
Dharmapuri,2013,Kharif,0.3801
Dharmapuri,2013,Rabi,0.3651
Dharmapuri,2013,Zaid,0.3181
Dharmapuri,2014,Kharif,0.3691
Dharmapuri,2014,Rabi,0.4181
Dharmapuri,2014,Zaid,0.3404
Dharmapuri,2015,Kharif,0.377
Dharmapuri,2015,Rabi,0.3208
Dharmapuri,2015,Zaid,0.3961
Dharmapuri,2016,Kharif,0.4448
Dharmapuri,2016,Rabi,0.4343
Dharmapuri,2016,Zaid,0.3767
Dharmapuri,2017,Kharif,0.4094
Dharmapuri,2017,Rabi,0.3758
Dharmapuri,2017,Zaid,0.3221
Dharmapuri,2018,Kharif,0.3881
Dharmapuri,2018,Rabi,0.3457
Dharmapuri,2018,Zaid,0.4196
Dharmapuri,2019,Kharif,0.4224
Dharmapuri,2019,Rabi,0.3689
Dharmapuri,2019,Zaid,0.3039
Dharmapuri,2020,Kharif,0.4113
Dharmapuri,2020,Rabi,0.4558
Dharmapuri,2020,Zaid,0.3374
Dharmapuri,2021,Kharif,0.3776
Dharmapuri,2021,Rabi,0.3154
Dharmapuri,2021,Zaid,0.3136
Dharmapuri,2022,Kharif,0.3704
Dharmapuri,2022,Rabi,0.3181
Dharmapuri,2022,Zaid,0.2703
Dharmapuri,2023,Kharif,0.4495
Dharmapuri,2023,Rabi,0.3783
Dharmapuri,2023,Zaid,0.2569
Dindigul,2003,Kharif,0.5614
Dindigul,2003,Rabi,0.5629
Dindigul,2003,Zaid,0.5096
Dindigul,2004,Kharif,0.4722
Dindigul,2004,Rabi,0.473
Dindigul,2004,Zaid,0.4811
Dindigul,2005,Kharif,0.5424
Dindigul,2005,Rabi,0.5484
Dindigul,2005,Zaid,0.4523
Dindigul,2006,Kharif,0.5522
Dindigul,2006,Rabi,0.471
Dindigul,2006,Zaid,0.4347
Dindigul,2007,Kharif,0.4948
Dindigul,2007,Rabi,0.4248
Dindigul,2007,Zaid,0.443
Dindigul,2008,Kharif,0.4867
Dindigul,2008,Rabi,0.4795
Dindigul,2008,Zaid,0.4264
Dindigul,2009,Kharif,0.5889
Dindigul,2009,Rabi,0.5023
Dindigul,2009,Zaid,0.3554
Dindigul,2010,Kharif,0.5843
Dindigul,2010,Rabi,0.5202
Dindigul,2010,Zaid,0.4476
Dindigul,2011,Kharif,0.5404
Dindigul,2011,Rabi,0.4415
Dindigul,2011,Zaid,0.3703
Dindigul,2012,Kharif,0.5741
Dindigul,2012,Rabi,0.5062
Dindigul,2012,Zaid,0.4651
Dindigul,2013,Kharif,0.5273
Dindigul,2013,Rabi,0.4826
Dindigul,2013,Zaid,0.4624
Dindigul,2014,Kharif,0.507
Dindigul,2014,Rabi,0.418
Dindigul,2014,Zaid,0.5201
Dindigul,2015,Kharif,0.5427
Dindigul,2015,Rabi,0.5802
Dindigul,2015,Zaid,0.4381
Dindigul,2016,Kharif,0.5942
Dindigul,2016,Rabi,0.4976
Dindigul,2016,Zaid,0.412
Dindigul,2017,Kharif,0.4875
Dindigul,2017,Rabi,0.4596
Dindigul,2017,Zaid,0.3927
Dindigul,2018,Kharif,0.4603
Dindigul,2018,Rabi,0.5171
Dindigul,2018,Zaid,0.4146
Dindigul,2019,Kharif,0.5047
Dindigul,2019,Rabi,0.4959
Dindigul,2019,Zaid,0.4654
Dindigul,2020,Kharif,0.5114
Dindigul,2020,Rabi,0.3767
Dindigul,2020,Zaid,0.4553
Dindigul,2021,Kharif,0.5253
Dindigul,2021,Rabi,0.5142
Dindigul,2021,Zaid,0.4724
Dindigul,2022,Kharif,0.5396
Dindigul,2022,Rabi,0.4876
Dindigul,2022,Zaid,0.4516
Dindigul,2023,Kharif,0.4751
Dindigul,2023,Rabi,0.5062
Dindigul,2023,Zaid,0.4546
Erode,2003,Kharif,0.5798
Erode,2003,Rabi,0.4009
Erode,2003,Zaid,0.4103
Erode,2004,Kharif,0.5012
Erode,2004,Rabi,0.4677
Erode,2004,Zaid,0.4331
Erode,2005,Kharif,0.5408
Erode,2005,Rabi,0.4674
Erode,2005,Zaid,0.4524
Erode,2006,Kharif,0.5656
Erode,2006,Rabi,0.5136
Erode,2006,Zaid,0.5019
Erode,2007,Kharif,0.5841
Erode,2007,Rabi,0.4559
Erode,2007,Zaid,0.4059
Erode,2008,Kharif,0.5891
Erode,2008,Rabi,0.4888
Erode,2008,Zaid,0.4734
Erode,2009,Kharif,0.5
Erode,2009,Rabi,0.5087
Erode,2009,Zaid,0.4195
Erode,2010,Kharif,0.5312
Erode,2010,Rabi,0.4628
Erode,2010,Zaid,0.425
Erode,2011,Kharif,0.5389
Erode,2011,Rabi,0.5374
Erode,2011,Zaid,0.4155
Erode,2012,Kharif,0.496
Erode,2012,Rabi,0.4809
Erode,2012,Zaid,0.4935
Erode,2013,Kharif,0.565
Erode,2013,Rabi,0.4884
Erode,2013,Zaid,0.4446
Erode,2014,Kharif,0.5721
Erode,2014,Rabi,0.4875
Erode,2014,Zaid,0.4705
Erode,2015,Kharif,0.5517
Erode,2015,Rabi,0.4789
Erode,2015,Zaid,0.4442
Erode,2016,Kharif,0.4746
Erode,2016,Rabi,0.4669
Erode,2016,Zaid,0.4436
Erode,2017,Kharif,0.5627
Erode,2017,Rabi,0.5171
Erode,2017,Zaid,0.4392
Erode,2018,Kharif,0.6007
Erode,2018,Rabi,0.4959
Erode,2018,Zaid,0.4789
Erode,2019,Kharif,0.4885
Erode,2019,Rabi,0.4657
Erode,2019,Zaid,0.4375
Erode,2020,Kharif,0.4829
Erode,2020,Rabi,0.5728
Erode,2020,Zaid,0.4614
Erode,2021,Kharif,0.5656
Erode,2021,Rabi,0.4414
Erode,2021,Zaid,0.4528
Erode,2022,Kharif,0.5325
Erode,2022,Rabi,0.4603
Erode,2022,Zaid,0.2948
Erode,2023,Kharif,0.529
Erode,2023,Rabi,0.5284
Erode,2023,Zaid,0.3893
Kallakurichi,2003,Kharif,0.5771
Kallakurichi,2003,Rabi,0.4486
Kallakurichi,2003,Zaid,0.4298
Kallakurichi,2004,Kharif,0.4539
Kallakurichi,2004,Rabi,0.4728
Kallakurichi,2004,Zaid,0.5157
Kallakurichi,2005,Kharif,0.5754
Kallakurichi,2005,Rabi,0.4458
Kallakurichi,2005,Zaid,0.4354
Kallakurichi,2006,Kharif,0.5224
Kallakurichi,2006,Rabi,0.4743
Kallakurichi,2006,Zaid,0.449
Kallakurichi,2007,Kharif,0.582
Kallakurichi,2007,Rabi,0.4445
Kallakurichi,2007,Zaid,0.4894
Kallakurichi,2008,Kharif,0.5246
Kallakurichi,2008,Rabi,0.4956
Kallakurichi,2008,Zaid,0.4302
Kallakurichi,2009,Kharif,0.5482
Kallakurichi,2009,Rabi,0.4541
Kallakurichi,2009,Zaid,0.4962
Kallakurichi,2010,Kharif,0.6019
Kallakurichi,2010,Rabi,0.4216
Kallakurichi,2010,Zaid,0.3817
Kallakurichi,2011,Kharif,0.4991
Kallakurichi,2011,Rabi,0.4909
Kallakurichi,2011,Zaid,0.4623
Kallakurichi,2012,Kharif,0.5235
Kallakurichi,2012,Rabi,0.4494
Kallakurichi,2012,Zaid,0.4056
Kallakurichi,2013,Kharif,0.4616
Kallakurichi,2013,Rabi,0.5762
Kallakurichi,2013,Zaid,0.4258
Kallakurichi,2014,Kharif,0.501
Kallakurichi,2014,Rabi,0.5539
Kallakurichi,2014,Zaid,0.4374
Kallakurichi,2015,Kharif,0.5178
Kallakurichi,2015,Rabi,0.4595
Kallakurichi,2015,Zaid,0.4319
Kallakurichi,2016,Kharif,0.5431
Kallakurichi,2016,Rabi,0.5161
Kallakurichi,2016,Zaid,0.3882
Kallakurichi,2017,Kharif,0.5321
Kallakurichi,2017,Rabi,0.414
Kallakurichi,2017,Zaid,0.4099
Kallakurichi,2018,Kharif,0.5129
Kallakurichi,2018,Rabi,0.4653
Kallakurichi,2018,Zaid,0.5119
Kallakurichi,2019,Kharif,0.5017
Kallakurichi,2019,Rabi,0.4502
Kallakurichi,2019,Zaid,0.3906
Kallakurichi,2020,Kharif,0.5481
Kallakurichi,2020,Rabi,0.4307
Kallakurichi,2020,Zaid,0.4704
Kallakurichi,2021,Kharif,0.5646
Kallakurichi,2021,Rabi,0.4799
Kallakurichi,2021,Zaid,0.503
Kallakurichi,2022,Kharif,0.5676
Kallakurichi,2022,Rabi,0.539
Kallakurichi,2022,Zaid,0.4591
Kallakurichi,2023,Kharif,0.5583
Kallakurichi,2023,Rabi,0.425
Kallakurichi,2023,Zaid,0.4542
Kancheepuram,2003,Kharif,0.5324
Kancheepuram,2003,Rabi,0.4752
Kancheepuram,2003,Zaid,0.4985
Kancheepuram,2004,Kharif,0.5549
Kancheepuram,2004,Rabi,0.4602
Kancheepuram,2004,Zaid,0.469
Kancheepuram,2005,Kharif,0.4934
Kancheepuram,2005,Rabi,0.472
Kancheepuram,2005,Zaid,0.4903
Kancheepuram,2006,Kharif,0.5299
Kancheepuram,2006,Rabi,0.4287
Kancheepuram,2006,Zaid,0.4171
Kancheepuram,2007,Kharif,0.5421
Kancheepuram,2007,Rabi,0.5476
Kancheepuram,2007,Zaid,0.3911
Kancheepuram,2008,Kharif,0.4676
Kancheepuram,2008,Rabi,0.5827
Kancheepuram,2008,Zaid,0.4317
Kancheepuram,2009,Kharif,0.5298
Kancheepuram,2009,Rabi,0.4711
Kancheepuram,2009,Zaid,0.4613
Kancheepuram,2010,Kharif,0.4911
Kancheepuram,2010,Rabi,0.4375
Kancheepuram,2010,Zaid,0.3851
Kancheepuram,2011,Kharif,0.5641
Kancheepuram,2011,Rabi,0.5274
Kancheepuram,2011,Zaid,0.5122
Kancheepuram,2012,Kharif,0.5078
Kancheepuram,2012,Rabi,0.4367
Kancheepuram,2012,Zaid,0.3984
Kancheepuram,2013,Kharif,0.5775
Kancheepuram,2013,Rabi,0.4764
Kancheepuram,2013,Zaid,0.4233
Kancheepuram,2014,Kharif,0.5565
Kancheepuram,2014,Rabi,0.3785
Kancheepuram,2014,Zaid,0.4335
Kancheepuram,2015,Kharif,0.4749
Kancheepuram,2015,Rabi,0.4594
Kancheepuram,2015,Zaid,0.4432
Kancheepuram,2016,Kharif,0.5629
Kancheepuram,2016,Rabi,0.4685
Kancheepuram,2016,Zaid,0.4694
Kancheepuram,2017,Kharif,0.566
Kancheepuram,2017,Rabi,0.46
Kancheepuram,2017,Zaid,0.5415
Kancheepuram,2018,Kharif,0.5677
Kancheepuram,2018,Rabi,0.4896
Kancheepuram,2018,Zaid,0.4095
Kancheepuram,2019,Kharif,0.5389
Kancheepuram,2019,Rabi,0.4749
Kancheepuram,2019,Zaid,0.4446
Kancheepuram,2020,Kharif,0.5413
Kancheepuram,2020,Rabi,0.4673
Kancheepuram,2020,Zaid,0.4685
Kancheepuram,2021,Kharif,0.5096
Kancheepuram,2021,Rabi,0.4626
Kancheepuram,2021,Zaid,0.4347
Kancheepuram,2022,Kharif,0.4689
Kancheepuram,2022,Rabi,0.4824
Kancheepuram,2022,Zaid,0.4144
Kancheepuram,2023,Kharif,0.4403
Kancheepuram,2023,Rabi,0.4821
Kancheepuram,2023,Zaid,0.4323
Kanyakumari,2003,Kharif,0.6643
Kanyakumari,2003,Rabi,0.5829
Kanyakumari,2003,Zaid,0.5123
Kanyakumari,2004,Kharif,0.7229
Kanyakumari,2004,Rabi,0.608
Kanyakumari,2004,Zaid,0.5638
Kanyakumari,2005,Kharif,0.7299
Kanyakumari,2005,Rabi,0.594
Kanyakumari,2005,Zaid,0.6082
Kanyakumari,2006,Kharif,0.7787
Kanyakumari,2006,Rabi,0.5902
Kanyakumari,2006,Zaid,0.515
Kanyakumari,2007,Kharif,0.656
Kanyakumari,2007,Rabi,0.6161
Kanyakumari,2007,Zaid,0.5233
Kanyakumari,2008,Kharif,0.6143
Kanyakumari,2008,Rabi,0.6349
Kanyakumari,2008,Zaid,0.5726
Kanyakumari,2009,Kharif,0.7004
Kanyakumari,2009,Rabi,0.6591
Kanyakumari,2009,Zaid,0.5065
Kanyakumari,2010,Kharif,0.5765
Kanyakumari,2010,Rabi,0.6213
Kanyakumari,2010,Zaid,0.5071
Kanyakumari,2011,Kharif,0.5876
Kanyakumari,2011,Rabi,0.5958
Kanyakumari,2011,Zaid,0.4947
Kanyakumari,2012,Kharif,0.6554
Kanyakumari,2012,Rabi,0.6596
Kanyakumari,2012,Zaid,0.5918
Kanyakumari,2013,Kharif,0.6554
Kanyakumari,2013,Rabi,0.5856
Kanyakumari,2013,Zaid,0.5767
Kanyakumari,2014,Kharif,0.7263
Kanyakumari,2014,Rabi,0.6014
Kanyakumari,2014,Zaid,0.5732
Kanyakumari,2015,Kharif,0.7248
Kanyakumari,2015,Rabi,0.5986
Kanyakumari,2015,Zaid,0.5978
Kanyakumari,2016,Kharif,0.5873
Kanyakumari,2016,Rabi,0.6121
Kanyakumari,2016,Zaid,0.5472
Kanyakumari,2017,Kharif,0.6853
Kanyakumari,2017,Rabi,0.5485
Kanyakumari,2017,Zaid,0.5548
Kanyakumari,2018,Kharif,0.6518
Kanyakumari,2018,Rabi,0.5968
Kanyakumari,2018,Zaid,0.5916
Kanyakumari,2019,Kharif,0.7059
Kanyakumari,2019,Rabi,0.5884
Kanyakumari,2019,Zaid,0.5682
Kanyakumari,2020,Kharif,0.6642
Kanyakumari,2020,Rabi,0.6236
Kanyakumari,2020,Zaid,0.5818
Kanyakumari,2021,Kharif,0.6597
Kanyakumari,2021,Rabi,0.6177
Kanyakumari,2021,Zaid,0.532
Kanyakumari,2022,Kharif,0.6202
Kanyakumari,2022,Rabi,0.5153
Kanyakumari,2022,Zaid,0.5478
Kanyakumari,2023,Kharif,0.6367
Kanyakumari,2023,Rabi,0.6108
Kanyakumari,2023,Zaid,0.5032
Karur,2003,Kharif,0.5083
Karur,2003,Rabi,0.4956
Karur,2003,Zaid,0.417
Karur,2004,Kharif,0.6054
Karur,2004,Rabi,0.4742
Karur,2004,Zaid,0.4062
Karur,2005,Kharif,0.5821
Karur,2005,Rabi,0.4507
Karur,2005,Zaid,0.4653
Karur,2006,Kharif,0.5716
Karur,2006,Rabi,0.5203
Karur,2006,Zaid,0.4663
Karur,2007,Kharif,0.5236
Karur,2007,Rabi,0.497
