district,year,rainfall_mm,temp_avg_c
Mayiladuthurai,2006,1893.6,29.57
Mayiladuthurai,2007,1576.0,28.89
Mayiladuthurai,2008,1933.9,29.39
Mayiladuthurai,2009,1606.8,28.84
Mayiladuthurai,2010,1572.3,29.28
Mayiladuthurai,2011,1259.4,28.61
Mayiladuthurai,2012,1319.0,29.36
Mayiladuthurai,2013,1078.5,29.17
Mayiladuthurai,2014,1313.6,29.09
Mayiladuthurai,2015,1398.3,29.59
Mayiladuthurai,2016,1423.8,28.97
Mayiladuthurai,2017,1650.6,28.92
Mayiladuthurai,2018,1639.7,29.4
Mayiladuthurai,2019,1167.5,28.62
Mayiladuthurai,2020,1702.9,29.45
Mayiladuthurai,2021,1220.9,29.31
Mayiladuthurai,2022,1644.9,29.17
Mayiladuthurai,2023,1022.8,29.22
Nagapattinam,2003,1390.6,29.06
Nagapattinam,2004,1563.3,28.66
Nagapattinam,2005,1667.9,29.62
Nagapattinam,2006,1332.2,29.12
Nagapattinam,2007,1114.5,29.32
Nagapattinam,2008,1546.6,28.95
Nagapattinam,2009,1569.2,29.25
Nagapattinam,2010,1150.2,29.58
Nagapattinam,2011,1381.5,28.85
Nagapattinam,2012,1080.3,28.69
Nagapattinam,2013,1613.4,28.85
Nagapattinam,2014,1314.4,28.32
Nagapattinam,2015,1358.8,29.87
Nagapattinam,2016,1612.5,28.66
Nagapattinam,2017,1806.7,29.72
Nagapattinam,2018,1286.8,28.54
Nagapattinam,2019,1317.1,29.66
Nagapattinam,2020,1377.2,29.69
Nagapattinam,2021,1538.7,29.55
Nagapattinam,2022,1000.2,29.15
Nagapattinam,2023,1155.3,28.58
Namakkal,2003,1132.0,31.16
Namakkal,2004,747.8,30.84
Namakkal,2005,968.9,30.47
Namakkal,2006,644.9,30.88
Namakkal,2007,926.1,31.02
Namakkal,2008,1158.9,30.47
Namakkal,2009,1043.2,30.48
Namakkal,2010,818.3,30.48
Namakkal,2011,900.7,30.7
Namakkal,2012,921.4,31.03
Namakkal,2013,1152.9,31.03
Namakkal,2014,826.2,30.49
Namakkal,2015,526.5,30.56
Namakkal,2016,1171.1,31.03
Namakkal,2017,800.4,30.14
Namakkal,2018,848.9,30.8
Namakkal,2019,742.7,31.2
Namakkal,2020,1156.5,30.4
Namakkal,2021,763.5,30.49
Namakkal,2022,995.4,30.83
Namakkal,2023,859.6,30.2
Nilgiris,2003,2343.7,25.32
Nilgiris,2004,2804.0,25.87
Nilgiris,2005,1829.8,25.81
Nilgiris,2006,2762.7,26.78
Nilgiris,2007,2612.0,26.24
Nilgiris,2008,1883.1,26.53
Nilgiris,2009,2324.4,25.99
Nilgiris,2010,2440.4,26.21
Nilgiris,2011,2316.3,26.54
Nilgiris,2012,2096.6,26.16
Nilgiris,2013,2119.4,26.45
Nilgiris,2014,2292.7,26.31
Nilgiris,2015,1556.7,25.96
Nilgiris,2016,1638.9,25.68
Nilgiris,2017,1857.6,26.49
Nilgiris,2018,2196.7,25.44
Nilgiris,2019,2074.7,26.96
Nilgiris,2020,2492.2,26.88
Nilgiris,2021,1605.7,25.75
Nilgiris,2022,1843.4,26.86
Nilgiris,2023,1753.7,26.75
Perambalur,2003,638.6,30.99
Perambalur,2004,799.4,30.25
Perambalur,2005,730.7,31.11
Perambalur,2006,385.6,30.02
Perambalur,2007,465.2,30.74
Perambalur,2008,506.8,30.52
Perambalur,2009,767.6,30.65
Perambalur,2010,702.3,30.61
Perambalur,2011,678.3,30.16
Perambalur,2012,558.5,31.6
Perambalur,2013,756.6,30.61
Perambalur,2014,752.6,31.36
Perambalur,2015,523.7,30.51
Perambalur,2016,775.8,29.95
Perambalur,2017,741.3,30.49
Perambalur,2018,519.9,31.1
Perambalur,2019,379.1,30.81
Perambalur,2020,630.9,30.88
Perambalur,2021,897.4,31.03
Perambalur,2022,605.0,30.49
Perambalur,2023,609.9,30.92
Pudukkottai,2003,462.7,29.29
Pudukkottai,2004,569.0,29.89
Pudukkottai,2005,709.5,29.48
Pudukkottai,2006,436.5,29.04
Pudukkottai,2007,450.2,29.73
Pudukkottai,2008,537.4,30.07
Pudukkottai,2009,532.1,29.47
Pudukkottai,2010,543.4,30.49
Pudukkottai,2011,673.6,29.59
Pudukkottai,2012,932.6,29.76
Pudukkottai,2013,606.8,29.92
Pudukkottai,2014,700.0,29.86
Pudukkottai,2015,744.3,30.16
Pudukkottai,2016,604.2,29.19
Pudukkottai,2017,568.4,30.31
Pudukkottai,2018,737.2,30.09
Pudukkottai,2019,693.0,30.03
Pudukkottai,2020,603.7,29.94
Pudukkottai,2021,518.6,30.01
Pudukkottai,2022,785.2,30.33
Pudukkottai,2023,654.4,30.06
Ramanathapuram,2003,496.5,30.2
Ramanathapuram,2004,662.8,29.61
Ramanathapuram,2005,509.1,29.82
Ramanathapuram,2006,373.6,30.13
Ramanathapuram,2007,457.2,29.93
Ramanathapuram,2008,521.7,30.19
Ramanathapuram,2009,365.6,30.75
Ramanathapuram,2010,322.6,29.48
Ramanathapuram,2011,311.4,29.61
Ramanathapuram,2012,463.2,29.92
Ramanathapuram,2013,616.5,30.07
Ramanathapuram,2014,464.2,29.24
Ramanathapuram,2015,347.9,29.34
Ramanathapuram,2016,299.6,30.07
Ramanathapuram,2017,528.9,29.74
Ramanathapuram,2018,419.7,30.16
Ramanathapuram,2019,330.5,29.67
Ramanathapuram,2020,542.2,29.66
Ramanathapuram,2021,559.5,30.23
Ramanathapuram,2022,380.1,29.63
Ramanathapuram,2023,316.3,30.12
Ranipet,2003,863.7,29.67
Ranipet,2004,1184.0,29.54
Ranipet,2005,1076.5,29.5
Ranipet,2006,902.3,29.11
Ranipet,2007,740.8,29.1
Ranipet,2008,1047.2,29.45
Ranipet,2009,929.4,29.52
Ranipet,2010,875.7,29.37
Ranipet,2011,757.8,29.89
Ranipet,2012,1037.7,29.76
Ranipet,2013,797.8,29.57
Ranipet,2014,1321.6,30.0
Ranipet,2015,808.2,30.17
Ranipet,2016,809.2,29.45
Ranipet,2017,985.0,29.42
Ranipet,2018,908.9,29.17
Ranipet,2019,1002.8,29.96
Ranipet,2020,1020.0,29.83
Ranipet,2021,930.0,30.34
Ranipet,2022,803.6,29.32
Ranipet,2023,687.3,30.2
Salem,2003,743.3,30.85
Salem,2004,990.4,30.17
Salem,2005,972.7,30.8
Salem,2006,717.9,30.27
Salem,2007,932.1,30.03
Salem,2008,1108.3,31.49
Salem,2009,1088.6,30.76
Salem,2010,795.7,29.58
Salem,2011,956.0,31.27
Salem,2012,1050.8,30.28
Salem,2013,799.1,30.25
Salem,2014,703.2,30.98
Salem,2015,981.3,30.44
Salem,2016,741.3,30.25
Salem,2017,1098.3,31.02
Salem,2018,659.4,30.58
Salem,2019,735.4,30.03
Salem,2020,1244.3,30.82
Salem,2021,962.7,31.48
Salem,2022,696.4,30.65
Salem,2023,1025.1,30.48
Sivaganga,2003,661.7,30.22
Sivaganga,2004,869.6,29.44
Sivaganga,2005,699.4,29.37
Sivaganga,2006,532.7,29.91
Sivaganga,2007,656.1,30.26
Sivaganga,2008,450.9,29.1
Sivaganga,2009,795.5,30.2
Sivaganga,2010,500.7,29.66
Sivaganga,2011,566.1,30.23
Sivaganga,2012,599.1,29.84
Sivaganga,2013,650.1,30.08
Sivaganga,2014,497.9,30.12
Sivaganga,2015,688.4,30.14
Sivaganga,2016,646.8,29.8
Sivaganga,2017,618.9,29.71
Sivaganga,2018,767.4,29.15
Sivaganga,2019,412.2,29.72
Sivaganga,2020,539.8,29.4
Sivaganga,2021,827.3,29.53
Sivaganga,2022,511.0,30.22
Sivaganga,2023,473.1,30.34
Tenkasi,2003,1216.4,29.84
Tenkasi,2004,1254.2,30.01
Tenkasi,2005,1611.2,29.82
Tenkasi,2006,1979.9,29.5
Tenkasi,2007,1590.4,29.43
Tenkasi,2008,1084.8,29.99
Tenkasi,2009,1389.4,29.45
Tenkasi,2010,1067.3,30.2
Tenkasi,2011,845.6,29.62
Tenkasi,2012,1506.5,30.35
Tenkasi,2013,1169.0,29.5
Tenkasi,2014,1399.7,29.86
Tenkasi,2015,1425.2,30.29
Tenkasi,2016,1254.7,29.96
Tenkasi,2017,1434.0,29.83
Tenkasi,2018,1023.4,30.44
Tenkasi,2019,655.9,29.93
Tenkasi,2020,1279.5,30.5
Tenkasi,2021,1286.6,29.78
Tenkasi,2022,1010.4,30.24
Tenkasi,2023,1354.8,29.36
Thanjavur,2003,1383.5,29.89
Thanjavur,2004,1349.4,28.75
Thanjavur,2005,1931.6,29.28
Thanjavur,2006,959.6,29.03
Thanjavur,2007,1231.3,28.44
Thanjavur,2008,1061.1,29.24
Thanjavur,2009,1311.5,28.9
Thanjavur,2010,1597.4,29.39
Thanjavur,2011,1372.3,29.16
Thanjavur,2012,1839.8,29.38
Thanjavur,2013,1589.6,28.92
Thanjavur,2014,1696.2,28.53
Thanjavur,2015,1319.6,29.29
Thanjavur,2016,1369.4,30.08
Thanjavur,2017,1178.9,28.71
Thanjavur,2018,1700.4,28.48
Thanjavur,2019,1376.7,29.67
Thanjavur,2020,1242.0,28.88
Thanjavur,2021,1188.1,28.73
Thanjavur,2022,1424.8,29.39
Thanjavur,2023,1764.9,29.54
Theni,2003,1467.2,29.93
Theni,2004,1652.5,29.11
Theni,2005,1764.0,30.29
Theni,2006,1312.4,29.42
Theni,2007,1528.6,30.49
Theni,2008,1516.4,29.98
Theni,2009,1571.8,30.44
Theni,2010,1535.5,29.49
Theni,2011,1391.3,29.24
Theni,2012,861.9,29.81
Theni,2013,1426.2,29.36
Theni,2014,1338.3,29.69
Theni,2015,1410.2,29.76
Theni,2016,921.2,29.98
Theni,2017,1366.8,30.33
Theni,2018,1012.0,30.12
Theni,2019,519.5,30.23
Theni,2020,1321.1,29.74
Theni,2021,1063.4,29.49
Theni,2022,1947.5,30.28
Theni,2023,1393.1,30.37
Thoothukudi,2003,327.9,29.82
Thoothukudi,2004,554.3,29.28
Thoothukudi,2005,397.1,29.72
Thoothukudi,2006,414.9,29.67
Thoothukudi,2007,526.8,29.33
Thoothukudi,2008,428.3,30.35
Thoothukudi,2009,381.1,30.55
Thoothukudi,2010,477.6,29.6
Thoothukudi,2011,282.1,29.89
Thoothukudi,2012,411.2,30.3
Thoothukudi,2013,535.8,29.89
Thoothukudi,2014,386.8,29.65
Thoothukudi,2015,407.4,29.97
Thoothukudi,2016,508.9,30.07
Thoothukudi,2017,539.8,30.01
Thoothukudi,2018,471.7,29.6
Thoothukudi,2019,473.0,29.93
Thoothukudi,2020,412.2,30.63
Thoothukudi,2021,524.5,29.68
Thoothukudi,2022,509.7,29.56
Thoothukudi,2023,405.5,30.09
Tiruchirappalli,2003,1134.6,29.53
Tiruchirappalli,2004,893.1,30.67
Tiruchirappalli,2005,773.7,30.24
Tiruchirappalli,2006,660.3,30.27
Tiruchirappalli,2007,1249.9,31.21
Tiruchirappalli,2008,810.1,30.44
Tiruchirappalli,2009,1111.5,30.62
Tiruchirappalli,2010,602.8,30.28
Tiruchirappalli,2011,948.7,30.88
Tiruchirappalli,2012,1077.6,30.58
Tiruchirappalli,2013,676.1,30.44
Tiruchirappalli,2014,1033.9,30.7
Tiruchirappalli,2015,884.4,30.52
Tiruchirappalli,2016,872.0,30.7
Tiruchirappalli,2017,819.2,30.25
Tiruchirappalli,2018,975.9,30.89
Tiruchirappalli,2019,1189.2,30.39
Tiruchirappalli,2020,1155.9,30.2
Tiruchirappalli,2021,827.7,31.35
Tiruchirappalli,2022,1085.6,30.77
Tiruchirappalli,2023,837.4,30.5
Tirunelveli,2003,932.2,29.33
Tirunelveli,2004,1067.2,29.64
Tirunelveli,2005,797.2,30.16
Tirunelveli,2006,677.7,30.41
Tirunelveli,2007,697.5,30.32
Tirunelveli,2008,988.7,29.59
Tirunelveli,2009,1095.1,30.3
Tirunelveli,2010,1023.6,29.93
Tirunelveli,2011,1000.6,29.81
Tirunelveli,2012,1013.7,29.72
Tirunelveli,2013,925.4,30.22
Tirunelveli,2014,976.4,30.52
Tirunelveli,2015,768.8,29.6
Tirunelveli,2016,1133.8,29.87
Tirunelveli,2017,834.2,30.55
Tirunelveli,2018,975.1,28.58
Tirunelveli,2019,1107.5,29.56
Tirunelveli,2020,1098.3,30.0
Tirunelveli,2021,818.4,30.21
Tirunelveli,2022,833.1,30.87
Tirunelveli,2023,866.2,30.46
Tirupathur,2003,833.1,29.88
Tirupathur,2004,861.7,29.74
Tirupathur,2005,674.7,30.0
Tirupathur,2006,479.1,29.39
Tirupathur,2007,489.2,29.83
Tirupathur,2008,849.6,29.27
Tirupathur,2009,751.0,29.0
Tirupathur,2010,592.6,29.35
Tirupathur,2011,711.1,29.36
Tirupathur,2012,732.0,29.42
Tirupathur,2013,762.1,29.6
Tirupathur,2014,824.0,29.45
Tirupathur,2015,585.5,29.93
Tirupathur,2016,752.1,29.89
Tirupathur,2017,875.5,29.85
Tirupathur,2018,660.7,29.3
Tirupathur,2019,531.4,30.05
Tirupathur,2020,737.8,30.14
Tirupathur,2021,757.9,29.94
Tirupathur,2022,491.9,29.68
Tirupathur,2023,690.3,29.53
Tiruppur,2003,1002.0,25.43
Tiruppur,2004,832.9,25.68
Tiruppur,2005,900.0,25.76
Tiruppur,2006,868.6,26.19
Tiruppur,2007,868.9,26.11
Tiruppur,2008,1056.5,26.22
Tiruppur,2009,1190.2,25.46
Tiruppur,2010,807.5,25.33
Tiruppur,2011,845.5,25.62
Tiruppur,2012,987.9,26.38
Tiruppur,2013,979.8,26.59
Tiruppur,2014,718.3,25.74
Tiruppur,2015,835.6,25.21
Tiruppur,2016,991.8,25.56
Tiruppur,2017,1140.6,26.67
Tiruppur,2018,618.5,25.41
Tiruppur,2019,935.9,26.06
Tiruppur,2020,1015.2,26.99
Tiruppur,2021,662.5,26.61
Tiruppur,2022,1001.4,25.76
Tiruppur,2023,975.9,25.87
Tiruvallur,2003,734.5,29.62
Tiruvallur,2004,1077.2,29.61
Tiruvallur,2005,835.6,29.82
Tiruvallur,2006,947.7,29.92
Tiruvallur,2007,954.2,28.87
Tiruvallur,2008,915.1,29.16
Tiruvallur,2009,777.3,30.19
Tiruvallur,2010,941.0,29.66
Tiruvallur,2011,824.5,28.95
Tiruvallur,2012,807.7,30.56
Tiruvallur,2013,1193.2,28.7
Tiruvallur,2014,795.3,28.5
Tiruvallur,2015,915.8,29.16
Tiruvallur,2016,849.0,29.79
Tiruvallur,2017,1109.6,29.67
Tiruvallur,2018,788.8,29.81
Tiruvallur,2019,567.5,29.34
Tiruvallur,2020,690.1,29.59
Tiruvallur,2021,1058.1,29.35
Tiruvallur,2022,965.3,29.79
Tiruvallur,2023,826.1,29.62
Tiruvannamalai,2003,958.6,29.19
Tiruvannamalai,2004,813.9,29.42
Tiruvannamalai,2005,798.0,28.78
Tiruvannamalai,2006,791.1,29.48
Tiruvannamalai,2007,671.5,29.32
Tiruvannamalai,2008,1084.4,29.45
Tiruvannamalai,2009,806.1,30.04
Tiruvannamalai,2010,620.9,29.55
Tiruvannamalai,2011,784.7,29.42
Tiruvannamalai,2012,803.9,29.81
Tiruvannamalai,2013,975.8,29.79
Tiruvannamalai,2014,1018.1,28.89
Tiruvannamalai,2015,1083.1,29.24
Tiruvannamalai,2016,887.3,29.77
Tiruvannamalai,2017,1205.4,29.46
Tiruvannamalai,2018,1202.8,29.54
Tiruvannamalai,2019,1088.2,29.01
Tiruvannamalai,2020,1042.4,29.88
Tiruvannamalai,2021,980.2,29.62
Tiruvannamalai,2022,992.8,29.42
Tiruvannamalai,2023,789.8,29.7
Tiruvarur,2003,1918.5,28.99
Tiruvarur,2004,1307.1,28.59
Tiruvarur,2005,1128.3,28.18
Tiruvarur,2006,1667.4,29.11
Tiruvarur,2007,1327.1,29.61
Tiruvarur,2008,1926.3,29.44
Tiruvarur,2009,1704.0,29.18
Tiruvarur,2010,1381.9,28.71
Tiruvarur,2011,1275.6,29.67
Tiruvarur,2012,1936.9,29.31
Tiruvarur,2013,1111.8,28.61
Tiruvarur,2014,1794.2,29.62
Tiruvarur,2015,1148.1,28.95
Tiruvarur,2016,1045.7,29.05
Tiruvarur,2017,1731.8,29.76
Tiruvarur,2018,1478.4,29.05
Tiruvarur,2019,1341.0,28.94
Tiruvarur,2020,1368.8,29.04
Tiruvarur,2021,1621.9,29.31
Tiruvarur,2022,1682.5,29.48
Tiruvarur,2023,1617.8,29.41
Vellore,2003,1056.2,29.75
Vellore,2004,1105.5,29.51
Vellore,2005,1051.7,29.8
Vellore,2006,746.6,29.48
Vellore,2007,564.6,29.38
Vellore,2008,1227.7,29.27
Vellore,2009,968.4,29.48
Vellore,2010,983.6,29.93
Vellore,2011,950.1,29.58
Vellore,2012,1060.9,29.85
Vellore,2013,1146.1,29.79
Vellore,2014,808.7,29.59
Vellore,2015,653.6,29.19
Vellore,2016,814.1,29.44
Vellore,2017,971.5,29.34
Vellore,2018,963.3,29.49
Vellore,2019,682.2,29.97
Vellore,2020,780.5,29.06
Vellore,2021,1232.5,29.86
Vellore,2022,811.3,29.45
Vellore,2023,877.6,29.75
Villupuram,2003,819.0,29.68
