district,year,fertilizer_kg_ha
Kancheepuram,2021,213.8
Kancheepuram,2022,188.0
Kancheepuram,2023,201.8
Kanyakumari,2003,158.4
Kanyakumari,2004,129.6
Kanyakumari,2005,94.9
Kanyakumari,2006,164.8
Kanyakumari,2007,123.5
Kanyakumari,2008,139.9
Kanyakumari,2009,141.3
Kanyakumari,2010,154.6
Kanyakumari,2011,140.5
Kanyakumari,2012,179.7
Kanyakumari,2013,151.7
Kanyakumari,2014,152.1
Kanyakumari,2015,145.9
Kanyakumari,2016,146.4
Kanyakumari,2017,162.8
Kanyakumari,2018,161.4
Kanyakumari,2019,159.1
Kanyakumari,2020,176.9
Kanyakumari,2021,174.5
Kanyakumari,2022,198.3
Kanyakumari,2023,180.7
Karur,2003,181.4
Karur,2004,154.8
Karur,2005,160.6
Karur,2006,177.0
Karur,2007,185.8
Karur,2008,179.7
Karur,2009,200.2
Karur,2010,222.6
Karur,2011,172.1
Karur,2012,193.7
Karur,2013,213.4
Karur,2014,188.4
Karur,2015,193.2
Karur,2016,194.1
Karur,2017,182.8
Karur,2018,196.0
Karur,2019,214.5
Karur,2020,188.4
Karur,2021,206.5
Karur,2022,222.9
Karur,2023,234.7
Krishnagiri,2003,179.0
Krishnagiri,2004,154.8
Krishnagiri,2005,179.3
Krishnagiri,2006,160.6
Krishnagiri,2007,145.4
Krishnagiri,2008,150.9
Krishnagiri,2009,165.3
Krishnagiri,2010,163.2
Krishnagiri,2011,170.5
Krishnagiri,2012,147.3
Krishnagiri,2013,185.4
Krishnagiri,2014,158.9
Krishnagiri,2015,176.6
Krishnagiri,2016,212.0
Krishnagiri,2017,170.8
Krishnagiri,2018,200.3
Krishnagiri,2019,176.6
Krishnagiri,2020,200.2
Krishnagiri,2021,204.6
Krishnagiri,2022,200.1
Krishnagiri,2023,209.1
Madurai,2003,126.3
Madurai,2004,120.0
Madurai,2005,138.8
Madurai,2006,101.7
Madurai,2007,151.1
Madurai,2008,143.5
Madurai,2009,164.0
Madurai,2010,138.7
Madurai,2011,132.9
Madurai,2012,173.4
Madurai,2013,142.5
Madurai,2014,177.0
Madurai,2015,187.2
Madurai,2016,180.7
Madurai,2017,161.2
Madurai,2018,158.5
Madurai,2019,174.1
Madurai,2020,177.9
Madurai,2021,196.4
Madurai,2022,199.6
Madurai,2023,191.2
Mayiladuthurai,2003,207.5
Mayiladuthurai,2004,237.9
Mayiladuthurai,2005,219.9
Mayiladuthurai,2006,209.5
Mayiladuthurai,2007,231.3
Mayiladuthurai,2008,195.4
Mayiladuthurai,2009,226.8
Mayiladuthurai,2010,200.7
Mayiladuthurai,2011,220.6
Mayiladuthurai,2012,230.8
Mayiladuthurai,2013,233.1
Mayiladuthurai,2014,242.7
Mayiladuthurai,2015,232.3
Mayiladuthurai,2016,229.5
Mayiladuthurai,2017,237.1
Mayiladuthurai,2018,262.0
Mayiladuthurai,2019,241.0
Mayiladuthurai,2020,277.5
Mayiladuthurai,2021,265.2
Mayiladuthurai,2022,267.0
Mayiladuthurai,2023,244.6
Nagapattinam,2003,209.8
Nagapattinam,2004,204.1
Nagapattinam,2005,201.9
Nagapattinam,2006,220.6
Nagapattinam,2007,206.8
Nagapattinam,2008,221.1
Nagapattinam,2009,227.9
Nagapattinam,2010,198.6
Nagapattinam,2011,247.2
Nagapattinam,2012,226.5
Nagapattinam,2013,226.7
Nagapattinam,2014,219.2
Nagapattinam,2015,266.5
Nagapattinam,2016,220.2
Nagapattinam,2017,252.5
Nagapattinam,2018,232.6
Nagapattinam,2019,285.5
Nagapattinam,2020,270.0
Nagapattinam,2021,251.2
Nagapattinam,2022,274.5
Nagapattinam,2023,261.5
Namakkal,2003,182.3
Namakkal,2004,178.2
Namakkal,2005,158.3
Namakkal,2006,161.9
Namakkal,2007,189.5
Namakkal,2008,179.7
Namakkal,2009,177.1
Namakkal,2010,169.0
Namakkal,2011,188.7
Namakkal,2012,190.8
Namakkal,2013,189.0
Namakkal,2014,203.4
Namakkal,2015,197.7
Namakkal,2016,224.2
Namakkal,2017,209.2
Namakkal,2018,192.9
Namakkal,2019,225.5
Namakkal,2020,225.0
Namakkal,2021,200.3
Namakkal,2022,220.1
Namakkal,2023,224.1
Nilgiris,2003,170.5
Nilgiris,2004,187.9
Nilgiris,2005,191.3
Nilgiris,2006,192.1
Nilgiris,2007,183.8
Nilgiris,2008,189.0
Nilgiris,2009,206.0
Nilgiris,2010,201.5
Nilgiris,2011,241.4
Nilgiris,2012,202.6
Nilgiris,2013,235.4
Nilgiris,2014,214.6
Nilgiris,2015,237.5
Nilgiris,2016,212.1
Nilgiris,2017,207.1
Nilgiris,2018,216.9
Nilgiris,2019,236.0
Nilgiris,2020,253.5
Nilgiris,2021,241.6
Nilgiris,2022,241.4
Nilgiris,2023,237.1
Perambalur,2003,189.5
Perambalur,2004,183.1
Perambalur,2005,125.0
Perambalur,2006,184.9
Perambalur,2007,168.1
Perambalur,2008,190.7
Perambalur,2009,159.0
Perambalur,2010,188.2
Perambalur,2011,186.4
Perambalur,2012,200.2
Perambalur,2013,186.9
Perambalur,2014,211.4
Perambalur,2015,193.3
Perambalur,2016,194.4
Perambalur,2017,203.1
Perambalur,2018,236.9
Perambalur,2019,210.8
Perambalur,2020,218.5
Perambalur,2021,218.0
Perambalur,2022,235.9
Perambalur,2023,218.7
Pudukkottai,2003,134.9
Pudukkottai,2004,102.6
Pudukkottai,2005,152.6
Pudukkottai,2006,171.8
Pudukkottai,2007,128.3
Pudukkottai,2008,157.3
Pudukkottai,2009,148.7
Pudukkottai,2010,150.1
Pudukkottai,2011,135.6
Pudukkottai,2012,153.2
Pudukkottai,2013,155.5
Pudukkottai,2014,139.7
Pudukkottai,2015,156.4
Pudukkottai,2016,170.0
Pudukkottai,2017,175.6
Pudukkottai,2018,168.8
Pudukkottai,2019,205.0
Pudukkottai,2020,157.7
Pudukkottai,2021,166.7
Pudukkottai,2022,153.0
Pudukkottai,2023,177.1
Ramanathapuram,2003,105.2
Ramanathapuram,2004,115.8
Ramanathapuram,2005,144.8
Ramanathapuram,2006,120.9
Ramanathapuram,2007,163.2
Ramanathapuram,2008,140.8
Ramanathapuram,2009,166.6
Ramanathapuram,2010,158.0
Ramanathapuram,2011,137.9
Ramanathapuram,2012,152.2
Ramanathapuram,2013,156.2
Ramanathapuram,2014,134.0
Ramanathapuram,2015,149.5
Ramanathapuram,2016,155.8
Ramanathapuram,2017,169.5
Ramanathapuram,2018,155.7
Ramanathapuram,2019,184.7
Ramanathapuram,2020,149.8
Ramanathapuram,2021,179.8
Ramanathapuram,2022,200.1
Ramanathapuram,2023,177.6
Ranipet,2003,146.4
Ranipet,2004,147.2
Ranipet,2005,163.7
Ranipet,2006,143.4
Ranipet,2007,177.3
Ranipet,2008,177.0
Ranipet,2009,158.9
Ranipet,2010,176.0
Ranipet,2011,172.9
Ranipet,2012,200.8
Ranipet,2013,174.5
Ranipet,2014,216.3
Ranipet,2015,191.1
Ranipet,2016,166.8
Ranipet,2017,187.2
Ranipet,2018,189.9
Ranipet,2019,187.2
Ranipet,2020,202.1
Ranipet,2021,225.4
Ranipet,2022,186.4
Ranipet,2023,193.4
Salem,2003,157.4
Salem,2004,155.8
Salem,2005,190.7
Salem,2006,187.3
Salem,2007,191.9
Salem,2008,196.0
Salem,2009,191.5
Salem,2010,177.1
Salem,2011,191.2
Salem,2012,214.0
Salem,2013,215.9
Salem,2014,190.7
Salem,2015,201.3
Salem,2016,212.0
Salem,2017,214.2
Salem,2018,201.4
Salem,2019,193.2
Salem,2020,201.6
Salem,2021,201.6
Salem,2022,211.3
Salem,2023,217.8
Sivaganga,2003,133.6
Sivaganga,2004,150.7
Sivaganga,2005,175.8
Sivaganga,2006,105.7
Sivaganga,2007,134.6
Sivaganga,2008,147.3
Sivaganga,2009,152.8
Sivaganga,2010,152.8
Sivaganga,2011,152.7
Sivaganga,2012,162.9
Sivaganga,2013,180.9
Sivaganga,2014,166.0
Sivaganga,2015,191.2
Sivaganga,2016,169.0
Sivaganga,2017,149.4
Sivaganga,2018,190.8
Sivaganga,2019,175.7
Sivaganga,2020,153.8
Sivaganga,2021,173.1
Sivaganga,2022,162.3
Sivaganga,2023,204.6
Tenkasi,2003,117.7
Tenkasi,2004,152.7
Tenkasi,2005,129.5
Tenkasi,2006,134.4
Tenkasi,2007,151.2
Tenkasi,2008,136.8
Tenkasi,2009,133.3
Tenkasi,2010,154.3
Tenkasi,2011,148.2
Tenkasi,2012,128.3
Tenkasi,2013,178.9
Tenkasi,2014,186.5
Tenkasi,2015,189.4
Tenkasi,2016,146.8
Tenkasi,2017,150.5
Tenkasi,2018,201.3
Tenkasi,2019,171.0
Tenkasi,2020,161.6
Tenkasi,2021,187.1
Tenkasi,2022,179.2
Tenkasi,2023,188.7
Thanjavur,2003,208.1
Thanjavur,2004,227.9
Thanjavur,2005,214.5
Thanjavur,2006,257.0
Thanjavur,2007,232.2
Thanjavur,2008,235.6
Thanjavur,2009,230.7
Thanjavur,2010,215.6
Thanjavur,2011,234.7
Thanjavur,2012,211.7
Thanjavur,2013,236.2
Thanjavur,2014,237.3
Thanjavur,2015,246.5
Thanjavur,2016,243.8
Thanjavur,2017,243.5
Thanjavur,2018,248.5
Thanjavur,2019,228.4
Thanjavur,2020,256.3
Thanjavur,2021,256.3
Thanjavur,2022,265.7
Thanjavur,2023,265.6
Theni,2003,141.5
Theni,2004,127.6
Theni,2005,152.2
Theni,2006,136.2
Theni,2007,126.8
Theni,2008,144.4
Theni,2009,142.0
Theni,2010,147.0
Theni,2011,141.3
Theni,2012,136.0
Theni,2013,150.8
Theni,2014,164.5
Theni,2015,183.2
Theni,2016,174.6
Theni,2017,152.1
Theni,2018,125.0
Theni,2019,152.9
Theni,2020,181.5
Theni,2021,158.2
Theni,2022,199.1
Theni,2023,163.1
Thoothukudi,2003,111.8
Thoothukudi,2004,126.3
Thoothukudi,2005,131.1
Thoothukudi,2006,146.5
Thoothukudi,2007,113.8
Thoothukudi,2008,126.4
Thoothukudi,2009,125.1
Thoothukudi,2010,144.0
Thoothukudi,2011,142.0
Thoothukudi,2012,164.0
Thoothukudi,2013,141.8
Thoothukudi,2014,180.5
Thoothukudi,2015,146.2
Thoothukudi,2016,171.1
Thoothukudi,2017,165.1
Thoothukudi,2018,158.8
Thoothukudi,2019,168.7
Thoothukudi,2020,167.4
Thoothukudi,2021,189.9
Thoothukudi,2022,180.9
Thoothukudi,2023,175.3
Tiruchirappalli,2003,180.1
Tiruchirappalli,2004,154.5
Tiruchirappalli,2005,171.1
Tiruchirappalli,2006,196.3
Tiruchirappalli,2007,172.6
Tiruchirappalli,2008,166.6
Tiruchirappalli,2009,164.3
Tiruchirappalli,2010,172.4
Tiruchirappalli,2011,200.3
Tiruchirappalli,2012,164.1
Tiruchirappalli,2013,205.7
Tiruchirappalli,2014,173.4
Tiruchirappalli,2015,229.3
Tiruchirappalli,2016,207.1
Tiruchirappalli,2017,196.8
Tiruchirappalli,2018,200.3
Tiruchirappalli,2019,196.1
Tiruchirappalli,2020,214.8
Tiruchirappalli,2021,215.3
Tiruchirappalli,2022,209.4
Tiruchirappalli,2023,205.6
Tirunelveli,2003,132.6
Tirunelveli,2004,110.9
Tirunelveli,2005,150.3
Tirunelveli,2006,153.8
Tirunelveli,2007,157.3
Tirunelveli,2008,116.7
Tirunelveli,2009,143.1
Tirunelveli,2010,140.5
Tirunelveli,2011,131.3
Tirunelveli,2012,126.2
Tirunelveli,2013,153.2
Tirunelveli,2014,149.1
Tirunelveli,2015,164.7
Tirunelveli,2016,176.2
Tirunelveli,2017,187.5
Tirunelveli,2018,163.9
Tirunelveli,2019,193.4
Tirunelveli,2020,184.6
Tirunelveli,2021,206.7
Tirunelveli,2022,177.9
Tirunelveli,2023,178.5
Tirupathur,2003,124.8
Tirupathur,2004,158.9
Tirupathur,2005,164.2
Tirupathur,2006,155.9
Tirupathur,2007,177.1
Tirupathur,2008,170.9
Tirupathur,2009,162.9
Tirupathur,2010,170.9
Tirupathur,2011,169.8
Tirupathur,2012,186.1
Tirupathur,2013,188.2
Tirupathur,2014,177.3
Tirupathur,2015,150.3
Tirupathur,2016,203.8
Tirupathur,2017,191.5
Tirupathur,2018,194.2
Tirupathur,2019,209.4
Tirupathur,2020,198.2
Tirupathur,2021,218.1
Tirupathur,2022,201.3
Tirupathur,2023,204.9
Tiruppur,2003,171.8
Tiruppur,2004,208.9
Tiruppur,2005,211.3
Tiruppur,2006,187.1
Tiruppur,2007,197.2
Tiruppur,2008,223.2
Tiruppur,2009,206.0
Tiruppur,2010,211.6
Tiruppur,2011,204.4
Tiruppur,2012,226.2
Tiruppur,2013,174.8
Tiruppur,2014,220.7
Tiruppur,2015,210.7
Tiruppur,2016,234.9
Tiruppur,2017,226.6
Tiruppur,2018,243.2
Tiruppur,2019,242.5
Tiruppur,2020,240.4
Tiruppur,2021,232.3
Tiruppur,2022,228.3
Tiruppur,2023,242.3
Tiruvallur,2003,147.6
Tiruvallur,2004,166.8
Tiruvallur,2005,158.7
Tiruvallur,2006,191.1
Tiruvallur,2007,158.0
Tiruvallur,2008,173.3
Tiruvallur,2009,170.9
Tiruvallur,2010,152.3
Tiruvallur,2011,200.3
Tiruvallur,2012,164.7
Tiruvallur,2013,193.7
Tiruvallur,2014,173.7
Tiruvallur,2015,175.7
Tiruvallur,2016,161.6
Tiruvallur,2017,198.9
Tiruvallur,2018,214.0
Tiruvallur,2019,197.9
Tiruvallur,2020,222.5
Tiruvallur,2021,188.8
Tiruvallur,2022,201.1
Tiruvallur,2023,208.2
Tiruvannamalai,2003,161.7
Tiruvannamalai,2004,150.8
Tiruvannamalai,2005,172.1
Tiruvannamalai,2006,137.8
Tiruvannamalai,2007,185.2
Tiruvannamalai,2008,156.5
Tiruvannamalai,2009,142.1
Tiruvannamalai,2010,192.7
Tiruvannamalai,2011,181.9
Tiruvannamalai,2012,202.9
Tiruvannamalai,2013,179.9
Tiruvannamalai,2014,172.0
Tiruvannamalai,2015,198.7
Tiruvannamalai,2016,214.7
Tiruvannamalai,2017,173.4
Tiruvannamalai,2018,220.4
Tiruvannamalai,2019,216.1
Tiruvannamalai,2020,197.6
Tiruvannamalai,2021,177.2
Tiruvannamalai,2022,193.9
Tiruvannamalai,2023,218.2
Tiruvarur,2003,202.3
Tiruvarur,2004,221.8
Tiruvarur,2005,223.3
Tiruvarur,2006,221.3
Tiruvarur,2007,211.3
Tiruvarur,2008,223.1
Tiruvarur,2009,254.4
Tiruvarur,2010,212.2
Tiruvarur,2011,205.4
Tiruvarur,2012,236.0
Tiruvarur,2013,223.8
Tiruvarur,2014,224.7
Tiruvarur,2015,225.5
Tiruvarur,2016,221.9
Tiruvarur,2017,229.8
Tiruvarur,2018,265.1
Tiruvarur,2019,253.1
Tiruvarur,2020,259.3
Tiruvarur,2021,267.2
Tiruvarur,2022,257.0
Tiruvarur,2023,273.1
Vellore,2003,155.2
Vellore,2004,127.7
Vellore,2005,169.4
Vellore,2006,176.8
Vellore,2007,159.6
Vellore,2008,135.6
Vellore,2009,153.5
Vellore,2010,181.6
Vellore,2011,184.0
Vellore,2012,171.1
Vellore,2013,171.1
Vellore,2014,190.6
Vellore,2015,203.7
Vellore,2016,164.9
Vellore,2017,209.0
Vellore,2018,171.6
Vellore,2019,182.2
Vellore,2020,173.5
Vellore,2021,239.1
Vellore,2022,199.6
Vellore,2023,198.3
Villupuram,2003,130.1
Villupuram,2004,139.3
Villupuram,2005,149.7
Villupuram,2006,147.4
Villupuram,2007,150.4
Villupuram,2008,150.6
Villupuram,2009,196.2
Villupuram,2010,196.5
Villupuram,2011,173.6
Villupuram,2012,172.9
Villupuram,2013,192.9
Villupuram,2014,187.7
Villupuram,2015,209.2
Villupuram,2016,186.3
Villupuram,2017,209.3
Villupuram,2018,168.2
Villupuram,2019,219.1
Villupuram,2020,206.5
Villupuram,2021,160.8
Villupuram,2022,165.9
Villupuram,2023,188.8
Virudhunagar,2003,139.4
Virudhunagar,2004,164.5
Virudhunagar,2005,161.7
Virudhunagar,2006,155.1
Virudhunagar,2007,125.2
Virudhunagar,2008,114.2
Virudhunagar,2009,139.9
Virudhunagar,2010,138.5
Virudhunagar,2011,167.5
Virudhunagar,2012,166.7
Virudhunagar,2013,162.3
Virudhunagar,2014,136.7
Virudhunagar,2015,178.5
Virudhunagar,2016,150.2
Virudhunagar,2017,175.7
Virudhunagar,2018,156.9
Virudhunagar,2019,133.7
Virudhunagar,2020,198.7
Virudhunagar,2021,176.0
Virudhunagar,2022,177.5
Virudhunagar,2023,156.0
