district,year,season,crop,yield_t_ha,area_ha,production_tonnes,rainfall_mm,temp_avg_c,soil_N,soil_P,soil_K,soil_pH,ndvi,fertilizer_kg_ha
Ariyalur,2009,Kharif,Sugarcane,97.604,7901.0,771196.0,862.6,29.21,204.2,24.3,218.2,7.02,0.498,170.5
Ariyalur,2010,Kharif,Sugarcane,90.107,9092.0,819281.0,1137.3,29.52,249.3,22.8,176.7,7.49,0.6212,191.1
Ariyalur,2011,Kharif,Sugarcane,93.9,5911.0,555001.0,807.0,29.96,204.1,14.9,199.9,7.33,0.5182,164.4
Ariyalur,2012,Kharif,Sugarcane,90.383,5737.0,518529.0,973.9,29.19,224.5,15.3,214.0,7.19,0.5026,193.4
Ariyalur,2013,Kharif,Sugarcane,99.758,7789.0,776999.0,1075.3,29.74,196.5,16.0,170.7,7.37,0.4943,170.9
Ariyalur,2014,Kharif,Sugarcane,98.691,8905.0,878824.0,763.0,29.25,258.4,16.8,202.1,7.42,0.5159,180.1
Ariyalur,2015,Kharif,Sugarcane,94.46,6747.0,637304.0,814.8,29.37,258.7,20.0,184.4,7.47,0.4851,172.3
Ariyalur,2016,Kharif,Sugarcane,102.613,6852.0,703149.0,960.2,29.12,267.6,14.7,156.4,7.53,0.4978,192.0
Ariyalur,2017,Kharif,Sugarcane,92.776,5522.0,512302.0,1101.9,30.15,195.1,24.0,214.0,7.3,0.4688,205.6
Ariyalur,2018,Kharif,Sugarcane,99.736,9082.0,905827.0,949.1,29.65,231.2,25.4,217.9,6.82,0.5776,178.1
Ariyalur,2019,Kharif,Sugarcane,91.294,7592.0,693090.0,826.9,29.51,206.7,18.9,181.3,7.48,0.5113,217.4
Ariyalur,2020,Kharif,Sugarcane,98.425,6776.0,666925.0,1168.0,29.61,204.6,16.3,181.8,7.09,0.5423,185.7
Ariyalur,2021,Kharif,Sugarcane,101.408,5197.0,527016.0,957.4,28.99,224.5,15.1,201.5,7.42,0.5059,202.5
Ariyalur,2022,Kharif,Sugarcane,98.463,5892.0,580189.0,1034.8,29.22,255.3,21.2,183.1,7.43,0.528,173.5
Ariyalur,2023,Kharif,Sugarcane,96.264,5679.0,546699.0,679.0,29.35,239.3,20.7,202.6,6.95,0.5467,215.8
Ariyalur,2003,Kharif,Banana,37.85,5573.0,210940.0,932.4,28.77,200.3,16.6,177.1,6.8,0.5795,178.3
Ariyalur,2003,Rabi,Banana,35.432,4645.0,164574.0,932.4,28.77,200.3,16.6,177.1,6.8,0.4803,178.3
Ariyalur,2003,Zaid,Banana,34.559,5860.0,202516.0,932.4,28.77,200.3,16.6,177.1,6.8,0.4497,178.3
Ariyalur,2004,Kharif,Banana,37.025,5879.0,217659.0,965.5,30.44,262.3,16.1,164.2,7.11,0.5839,137.8
Ariyalur,2004,Rabi,Banana,35.108,4280.0,150243.0,965.5,30.44,262.3,16.1,164.2,7.11,0.4685,137.8
Ariyalur,2004,Zaid,Banana,34.875,5787.0,201810.0,965.5,30.44,262.3,16.1,164.2,7.11,0.4077,137.8
Ariyalur,2005,Kharif,Banana,37.876,4323.0,163750.0,929.6,28.98,240.7,22.8,213.6,7.35,0.5766,185.7
Ariyalur,2005,Rabi,Banana,36.295,5503.0,199752.0,929.6,28.98,240.7,22.8,213.6,7.35,0.4755,185.7
Ariyalur,2005,Zaid,Banana,35.873,3809.0,136629.0,929.6,28.98,240.7,22.8,213.6,7.35,0.4512,185.7
Ariyalur,2006,Kharif,Banana,36.568,3481.0,127300.0,629.2,29.55,271.6,17.2,170.4,6.81,0.5568,199.9
Ariyalur,2006,Rabi,Banana,33.492,5935.0,198761.0,629.2,29.55,271.6,17.2,170.4,6.81,0.4742,199.9
Ariyalur,2006,Zaid,Banana,35.057,4117.0,144343.0,629.2,29.55,271.6,17.2,170.4,6.81,0.3892,199.9
Ariyalur,2007,Kharif,Banana,36.966,4407.0,162903.0,880.2,28.93,258.6,16.3,197.8,7.15,0.4816,170.4
Ariyalur,2007,Rabi,Banana,33.391,5739.0,191646.0,880.2,28.93,258.6,16.3,197.8,7.15,0.5652,170.4
Ariyalur,2007,Zaid,Banana,39.597,3997.0,158253.0,880.2,28.93,258.6,16.3,197.8,7.15,0.562,170.4
Ariyalur,2008,Kharif,Banana,36.625,5827.0,213430.0,1227.5,29.49,250.4,23.7,217.8,7.08,0.4482,181.0
Ariyalur,2008,Rabi,Banana,37.865,5911.0,223827.0,1227.5,29.49,250.4,23.7,217.8,7.08,0.5154,181.0
Ariyalur,2008,Zaid,Banana,37.601,4854.0,182506.0,1227.5,29.49,250.4,23.7,217.8,7.08,0.4912,181.0
Ariyalur,2009,Kharif,Banana,36.482,3410.0,124421.0,862.6,29.21,204.2,24.3,218.2,7.02,0.498,170.5
Ariyalur,2009,Rabi,Banana,37.622,5099.0,191816.0,862.6,29.21,204.2,24.3,218.2,7.02,0.4905,170.5
Ariyalur,2009,Zaid,Banana,37.398,5628.0,210489.0,862.6,29.21,204.2,24.3,218.2,7.02,0.4841,170.5
Ariyalur,2010,Kharif,Banana,35.775,4095.0,146484.0,1137.3,29.52,249.3,22.8,176.7,7.49,0.6212,191.1
Ariyalur,2010,Rabi,Banana,35.474,5731.0,203291.0,1137.3,29.52,249.3,22.8,176.7,7.49,0.4799,191.1
Ariyalur,2010,Zaid,Banana,34.331,4764.0,163558.0,1137.3,29.52,249.3,22.8,176.7,7.49,0.451,191.1
Ariyalur,2011,Kharif,Banana,33.539,4543.0,152353.0,807.0,29.96,204.1,14.9,199.9,7.33,0.5182,164.4
Ariyalur,2011,Rabi,Banana,40.441,3362.0,135955.0,807.0,29.96,204.1,14.9,199.9,7.33,0.5578,164.4
Ariyalur,2011,Zaid,Banana,34.271,5449.0,186733.0,807.0,29.96,204.1,14.9,199.9,7.33,0.5379,164.4
Ariyalur,2012,Kharif,Banana,36.776,5332.0,196084.0,973.9,29.19,224.5,15.3,214.0,7.19,0.5026,193.4
Ariyalur,2012,Rabi,Banana,35.164,5241.0,184280.0,973.9,29.19,224.5,15.3,214.0,7.19,0.5391,193.4
Ariyalur,2012,Zaid,Banana,39.144,3948.0,154542.0,973.9,29.19,224.5,15.3,214.0,7.19,0.4801,193.4
Ariyalur,2013,Kharif,Banana,34.984,5784.0,202328.0,1075.3,29.74,196.5,16.0,170.7,7.37,0.4943,170.9
Ariyalur,2013,Rabi,Banana,33.998,4039.0,137330.0,1075.3,29.74,196.5,16.0,170.7,7.37,0.5584,170.9
Ariyalur,2013,Zaid,Banana,33.175,5489.0,182106.0,1075.3,29.74,196.5,16.0,170.7,7.37,0.4128,170.9
Ariyalur,2014,Kharif,Banana,33.753,3971.0,134020.0,763.0,29.25,258.4,16.8,202.1,7.42,0.5159,180.1
Ariyalur,2014,Rabi,Banana,34.591,5600.0,193717.0,763.0,29.25,258.4,16.8,202.1,7.42,0.4959,180.1
Ariyalur,2014,Zaid,Banana,34.165,4612.0,157571.0,763.0,29.25,258.4,16.8,202.1,7.42,0.4384,180.1
Ariyalur,2015,Kharif,Banana,37.328,4836.0,180503.0,814.8,29.37,258.7,20.0,184.4,7.47,0.4851,172.3
Ariyalur,2015,Rabi,Banana,35.635,5974.0,212898.0,814.8,29.37,258.7,20.0,184.4,7.47,0.5264,172.3
Ariyalur,2015,Zaid,Banana,36.73,6053.0,222344.0,814.8,29.37,258.7,20.0,184.4,7.47,0.524,172.3
Ariyalur,2016,Kharif,Banana,37.648,3400.0,128006.0,960.2,29.12,267.6,14.7,156.4,7.53,0.4978,192.0
Ariyalur,2016,Rabi,Banana,33.549,4952.0,166139.0,960.2,29.12,267.6,14.7,156.4,7.53,0.4352,192.0
Ariyalur,2016,Zaid,Banana,35.29,4021.0,141901.0,960.2,29.12,267.6,14.7,156.4,7.53,0.4404,192.0
Ariyalur,2017,Kharif,Banana,37.885,5190.0,196625.0,1101.9,30.15,195.1,24.0,214.0,7.3,0.4688,205.6
Ariyalur,2017,Rabi,Banana,35.807,5942.0,212779.0,1101.9,30.15,195.1,24.0,214.0,7.3,0.4998,205.6
Ariyalur,2017,Zaid,Banana,32.444,4811.0,156105.0,1101.9,30.15,195.1,24.0,214.0,7.3,0.4271,205.6
Ariyalur,2018,Kharif,Banana,37.789,4723.0,178484.0,949.1,29.65,231.2,25.4,217.9,6.82,0.5776,178.1
Ariyalur,2018,Rabi,Banana,33.437,4134.0,138234.0,949.1,29.65,231.2,25.4,217.9,6.82,0.4495,178.1
Ariyalur,2018,Zaid,Banana,37.149,5903.0,219282.0,949.1,29.65,231.2,25.4,217.9,6.82,0.4142,178.1
Ariyalur,2019,Kharif,Banana,35.617,4501.0,160326.0,826.9,29.51,206.7,18.9,181.3,7.48,0.5113,217.4
Ariyalur,2019,Rabi,Banana,35.601,6224.0,221591.0,826.9,29.51,206.7,18.9,181.3,7.48,0.4214,217.4
Ariyalur,2019,Zaid,Banana,34.815,4076.0,141892.0,826.9,29.51,206.7,18.9,181.3,7.48,0.3595,217.4
Ariyalur,2020,Kharif,Banana,35.408,4277.0,151429.0,1168.0,29.61,204.6,16.3,181.8,7.09,0.5423,185.7
Ariyalur,2020,Rabi,Banana,33.642,5076.0,170782.0,1168.0,29.61,204.6,16.3,181.8,7.09,0.5338,185.7
Ariyalur,2020,Zaid,Banana,34.56,5773.0,199518.0,1168.0,29.61,204.6,16.3,181.8,7.09,0.4851,185.7
Ariyalur,2021,Kharif,Banana,36.444,4791.0,174601.0,957.4,28.99,224.5,15.1,201.5,7.42,0.5059,202.5
Ariyalur,2021,Rabi,Banana,39.242,6023.0,236359.0,957.4,28.99,224.5,15.1,201.5,7.42,0.515,202.5
Ariyalur,2021,Zaid,Banana,37.726,3635.0,137116.0,957.4,28.99,224.5,15.1,201.5,7.42,0.3963,202.5
Ariyalur,2022,Kharif,Banana,34.69,4088.0,141797.0,1034.8,29.22,255.3,21.2,183.1,7.43,0.528,173.5
Ariyalur,2022,Rabi,Banana,36.452,5769.0,210312.0,1034.8,29.22,255.3,21.2,183.1,7.43,0.43,173.5
Ariyalur,2022,Zaid,Banana,34.812,4186.0,145730.0,1034.8,29.22,255.3,21.2,183.1,7.43,0.4483,173.5
Ariyalur,2023,Kharif,Banana,37.559,3948.0,148295.0,679.0,29.35,239.3,20.7,202.6,6.95,0.5467,215.8
Ariyalur,2023,Rabi,Banana,36.681,6130.0,224845.0,679.0,29.35,239.3,20.7,202.6,6.95,0.4965,215.8
Ariyalur,2023,Zaid,Banana,34.952,5288.0,184839.0,679.0,29.35,239.3,20.7,202.6,6.95,0.491,215.8
Ariyalur,2003,Kharif,Cotton,1.403,11028.0,15474.0,932.4,28.77,200.3,16.6,177.1,6.8,0.5795,178.3
Ariyalur,2004,Kharif,Cotton,1.472,11139.0,16400.0,965.5,30.44,262.3,16.1,164.2,7.11,0.5839,137.8
Ariyalur,2005,Kharif,Cotton,1.318,9349.0,12319.0,929.6,28.98,240.7,22.8,213.6,7.35,0.5766,185.7
Ariyalur,2006,Kharif,Cotton,1.354,10987.0,14876.0,629.2,29.55,271.6,17.2,170.4,6.81,0.5568,199.9
Ariyalur,2007,Kharif,Cotton,1.385,12874.0,17835.0,880.2,28.93,258.6,16.3,197.8,7.15,0.4816,170.4
Ariyalur,2008,Kharif,Cotton,1.501,7441.0,11170.0,1227.5,29.49,250.4,23.7,217.8,7.08,0.4482,181.0
Ariyalur,2009,Kharif,Cotton,1.322,12101.0,15997.0,862.6,29.21,204.2,24.3,218.2,7.02,0.498,170.5
Ariyalur,2010,Kharif,Cotton,1.286,8165.0,10504.0,1137.3,29.52,249.3,22.8,176.7,7.49,0.6212,191.1
Ariyalur,2011,Kharif,Cotton,1.286,8280.0,10646.0,807.0,29.96,204.1,14.9,199.9,7.33,0.5182,164.4
Ariyalur,2012,Kharif,Cotton,1.373,11909.0,16351.0,973.9,29.19,224.5,15.3,214.0,7.19,0.5026,193.4
Ariyalur,2013,Kharif,Cotton,1.391,12552.0,17466.0,1075.3,29.74,196.5,16.0,170.7,7.37,0.4943,170.9
Ariyalur,2014,Kharif,Cotton,1.293,12685.0,16398.0,763.0,29.25,258.4,16.8,202.1,7.42,0.5159,180.1
Ariyalur,2015,Kharif,Cotton,1.449,10961.0,15878.0,814.8,29.37,258.7,20.0,184.4,7.47,0.4851,172.3
Ariyalur,2016,Kharif,Cotton,1.4,12380.0,17334.0,960.2,29.12,267.6,14.7,156.4,7.53,0.4978,192.0
Ariyalur,2017,Kharif,Cotton,1.347,11280.0,15194.0,1101.9,30.15,195.1,24.0,214.0,7.3,0.4688,205.6
Ariyalur,2018,Kharif,Cotton,1.302,12996.0,16919.0,949.1,29.65,231.2,25.4,217.9,6.82,0.5776,178.1
Ariyalur,2019,Kharif,Cotton,1.356,12011.0,16290.0,826.9,29.51,206.7,18.9,181.3,7.48,0.5113,217.4
Ariyalur,2020,Kharif,Cotton,1.358,9140.0,12412.0,1168.0,29.61,204.6,16.3,181.8,7.09,0.5423,185.7
Ariyalur,2021,Kharif,Cotton,1.229,12501.0,15360.0,957.4,28.99,224.5,15.1,201.5,7.42,0.5059,202.5
Ariyalur,2022,Kharif,Cotton,1.397,13438.0,18777.0,1034.8,29.22,255.3,21.2,183.1,7.43,0.528,173.5
Ariyalur,2023,Kharif,Cotton,1.36,8252.0,11220.0,679.0,29.35,239.3,20.7,202.6,6.95,0.5467,215.8
Ariyalur,2003,Kharif,Groundnut,2.306,15124.0,34877.0,932.4,28.77,200.3,16.6,177.1,6.8,0.5795,178.3
Ariyalur,2003,Rabi,Groundnut,2.076,8843.0,18356.0,932.4,28.77,200.3,16.6,177.1,6.8,0.4803,178.3
Ariyalur,2003,Zaid,Groundnut,2.355,15166.0,35716.0,932.4,28.77,200.3,16.6,177.1,6.8,0.4497,178.3
Ariyalur,2004,Kharif,Groundnut,2.2,9147.0,20122.0,965.5,30.44,262.3,16.1,164.2,7.11,0.5839,137.8
Ariyalur,2004,Rabi,Groundnut,2.141,12147.0,26013.0,965.5,30.44,262.3,16.1,164.2,7.11,0.4685,137.8
Ariyalur,2004,Zaid,Groundnut,2.339,12929.0,30241.0,965.5,30.44,262.3,16.1,164.2,7.11,0.4077,137.8
Ariyalur,2005,Kharif,Groundnut,2.468,13323.0,32878.0,929.6,28.98,240.7,22.8,213.6,7.35,0.5766,185.7
Ariyalur,2005,Rabi,Groundnut,2.274,12242.0,27834.0,929.6,28.98,240.7,22.8,213.6,7.35,0.4755,185.7
Ariyalur,2005,Zaid,Groundnut,2.332,9098.0,21220.0,929.6,28.98,240.7,22.8,213.6,7.35,0.4512,185.7
Ariyalur,2006,Kharif,Groundnut,2.482,11298.0,28038.0,629.2,29.55,271.6,17.2,170.4,6.81,0.5568,199.9
Ariyalur,2006,Rabi,Groundnut,2.246,13889.0,31189.0,629.2,29.55,271.6,17.2,170.4,6.81,0.4742,199.9
Ariyalur,2006,Zaid,Groundnut,2.297,14474.0,33243.0,629.2,29.55,271.6,17.2,170.4,6.81,0.3892,199.9
Ariyalur,2007,Kharif,Groundnut,2.302,13861.0,31904.0,880.2,28.93,258.6,16.3,197.8,7.15,0.4816,170.4
Ariyalur,2007,Rabi,Groundnut,2.465,10619.0,26170.0,880.2,28.93,258.6,16.3,197.8,7.15,0.5652,170.4
Ariyalur,2007,Zaid,Groundnut,2.242,13695.0,30702.0,880.2,28.93,258.6,16.3,197.8,7.15,0.562,170.4
Ariyalur,2008,Kharif,Groundnut,2.273,12370.0,28113.0,1227.5,29.49,250.4,23.7,217.8,7.08,0.4482,181.0
Ariyalur,2008,Rabi,Groundnut,2.441,10525.0,25693.0,1227.5,29.49,250.4,23.7,217.8,7.08,0.5154,181.0
Ariyalur,2008,Zaid,Groundnut,2.293,15137.0,34705.0,1227.5,29.49,250.4,23.7,217.8,7.08,0.4912,181.0
Ariyalur,2009,Kharif,Groundnut,2.13,10674.0,22740.0,862.6,29.21,204.2,24.3,218.2,7.02,0.498,170.5
Ariyalur,2009,Rabi,Groundnut,2.432,13863.0,33714.0,862.6,29.21,204.2,24.3,218.2,7.02,0.4905,170.5
Ariyalur,2009,Zaid,Groundnut,2.039,15363.0,31330.0,862.6,29.21,204.2,24.3,218.2,7.02,0.4841,170.5
Ariyalur,2010,Kharif,Groundnut,2.261,9812.0,22188.0,1137.3,29.52,249.3,22.8,176.7,7.49,0.6212,191.1
Ariyalur,2010,Rabi,Groundnut,2.509,12577.0,31555.0,1137.3,29.52,249.3,22.8,176.7,7.49,0.4799,191.1
Ariyalur,2010,Zaid,Groundnut,2.326,14751.0,34305.0,1137.3,29.52,249.3,22.8,176.7,7.49,0.451,191.1
Ariyalur,2011,Kharif,Groundnut,2.126,8461.0,17991.0,807.0,29.96,204.1,14.9,199.9,7.33,0.5182,164.4
Ariyalur,2011,Rabi,Groundnut,2.301,8571.0,19725.0,807.0,29.96,204.1,14.9,199.9,7.33,0.5578,164.4
Ariyalur,2011,Zaid,Groundnut,1.985,15414.0,30599.0,807.0,29.96,204.1,14.9,199.9,7.33,0.5379,164.4
Ariyalur,2012,Kharif,Groundnut,2.336,15592.0,36429.0,973.9,29.19,224.5,15.3,214.0,7.19,0.5026,193.4
Ariyalur,2012,Rabi,Groundnut,2.39,13430.0,32105.0,973.9,29.19,224.5,15.3,214.0,7.19,0.5391,193.4
Ariyalur,2012,Zaid,Groundnut,2.265,15340.0,34751.0,973.9,29.19,224.5,15.3,214.0,7.19,0.4801,193.4
Ariyalur,2013,Kharif,Groundnut,2.391,13652.0,32640.0,1075.3,29.74,196.5,16.0,170.7,7.37,0.4943,170.9
Ariyalur,2013,Rabi,Groundnut,2.117,9279.0,19645.0,1075.3,29.74,196.5,16.0,170.7,7.37,0.5584,170.9
Ariyalur,2013,Zaid,Groundnut,2.32,15240.0,35357.0,1075.3,29.74,196.5,16.0,170.7,7.37,0.4128,170.9
Ariyalur,2014,Kharif,Groundnut,2.392,13723.0,32829.0,763.0,29.25,258.4,16.8,202.1,7.42,0.5159,180.1
Ariyalur,2014,Rabi,Groundnut,2.411,9548.0,23024.0,763.0,29.25,258.4,16.8,202.1,7.42,0.4959,180.1
Ariyalur,2014,Zaid,Groundnut,2.007,14555.0,29213.0,763.0,29.25,258.4,16.8,202.1,7.42,0.4384,180.1
Ariyalur,2015,Kharif,Groundnut,2.383,12090.0,28811.0,814.8,29.37,258.7,20.0,184.4,7.47,0.4851,172.3
Ariyalur,2015,Rabi,Groundnut,2.371,9553.0,22654.0,814.8,29.37,258.7,20.0,184.4,7.47,0.5264,172.3
Ariyalur,2015,Zaid,Groundnut,2.562,9628.0,24666.0,814.8,29.37,258.7,20.0,184.4,7.47,0.524,172.3
Ariyalur,2016,Kharif,Groundnut,2.034,8881.0,18063.0,960.2,29.12,267.6,14.7,156.4,7.53,0.4978,192.0
Ariyalur,2016,Rabi,Groundnut,2.452,13026.0,31936.0,960.2,29.12,267.6,14.7,156.4,7.53,0.4352,192.0
Ariyalur,2016,Zaid,Groundnut,2.196,9552.0,20976.0,960.2,29.12,267.6,14.7,156.4,7.53,0.4404,192.0
Ariyalur,2017,Kharif,Groundnut,2.241,10776.0,24152.0,1101.9,30.15,195.1,24.0,214.0,7.3,0.4688,205.6
Ariyalur,2017,Rabi,Groundnut,2.308,11538.0,26634.0,1101.9,30.15,195.1,24.0,214.0,7.3,0.4998,205.6
Ariyalur,2017,Zaid,Groundnut,2.331,11209.0,26131.0,1101.9,30.15,195.1,24.0,214.0,7.3,0.4271,205.6
Ariyalur,2018,Kharif,Groundnut,2.47,12435.0,30715.0,949.1,29.65,231.2,25.4,217.9,6.82,0.5776,178.1
Ariyalur,2018,Rabi,Groundnut,2.372,15563.0,36923.0,949.1,29.65,231.2,25.4,217.9,6.82,0.4495,178.1
Ariyalur,2018,Zaid,Groundnut,2.15,10182.0,21886.0,949.1,29.65,231.2,25.4,217.9,6.82,0.4142,178.1
Ariyalur,2019,Kharif,Groundnut,2.06,8772.0,18074.0,826.9,29.51,206.7,18.9,181.3,7.48,0.5113,217.4
Ariyalur,2019,Rabi,Groundnut,2.418,10069.0,24347.0,826.9,29.51,206.7,18.9,181.3,7.48,0.4214,217.4
Ariyalur,2019,Zaid,Groundnut,2.11,12753.0,26906.0,826.9,29.51,206.7,18.9,181.3,7.48,0.3595,217.4
Ariyalur,2020,Kharif,Groundnut,2.038,9884.0,20139.0,1168.0,29.61,204.6,16.3,181.8,7.09,0.5423,185.7
Ariyalur,2020,Rabi,Groundnut,2.195,15213.0,33396.0,1168.0,29.61,204.6,16.3,181.8,7.09,0.5338,185.7
Ariyalur,2020,Zaid,Groundnut,2.154,12027.0,25909.0,1168.0,29.61,204.6,16.3,181.8,7.09,0.4851,185.7
Ariyalur,2021,Kharif,Groundnut,2.293,10150.0,23273.0,957.4,28.99,224.5,15.1,201.5,7.42,0.5059,202.5
Ariyalur,2021,Rabi,Groundnut,2.328,13035.0,30343.0,957.4,28.99,224.5,15.1,201.5,7.42,0.515,202.5
Ariyalur,2021,Zaid,Groundnut,2.256,13440.0,30326.0,957.4,28.99,224.5,15.1,201.5,7.42,0.3963,202.5
Ariyalur,2022,Kharif,Groundnut,2.103,11809.0,24832.0,1034.8,29.22,255.3,21.2,183.1,7.43,0.528,173.5
Ariyalur,2022,Rabi,Groundnut,2.404,15483.0,37228.0,1034.8,29.22,255.3,21.2,183.1,7.43,0.43,173.5
