district,year,soil_N,soil_P,soil_K,soil_pH
Kallakurichi,2013,205.4,20.6,157.4,7.53
Kallakurichi,2014,209.6,26.1,218.7,6.97
Kallakurichi,2015,196.5,19.0,221.0,6.87
Kallakurichi,2016,253.9,24.0,159.5,6.97
Kallakurichi,2017,246.9,24.5,161.1,7.21
Kallakurichi,2018,213.1,17.3,163.7,7.49
Kallakurichi,2019,242.3,21.4,164.0,7.28
Kallakurichi,2020,201.4,18.1,155.2,6.93
Kallakurichi,2021,196.5,23.1,155.5,7.56
Kallakurichi,2022,246.5,16.4,184.6,6.92
Kallakurichi,2023,216.9,25.0,204.5,7.59
Kancheepuram,2003,253.9,24.5,184.6,6.91
Kancheepuram,2004,200.4,22.3,175.5,6.82
Kancheepuram,2005,212.4,27.1,223.0,7.08
Kancheepuram,2006,213.9,20.9,190.9,6.82
Kancheepuram,2007,199.5,19.4,191.9,7.48
Kancheepuram,2008,252.2,25.9,165.3,7.4
Kancheepuram,2009,267.0,15.8,201.0,7.52
Kancheepuram,2010,267.6,26.5,195.0,7.44
Kancheepuram,2011,231.3,24.1,163.6,7.35
Kancheepuram,2012,227.2,15.3,214.2,7.58
Kancheepuram,2013,269.6,18.6,205.2,7.52
Kancheepuram,2014,246.9,14.7,172.6,7.52
Kancheepuram,2015,247.5,20.3,191.0,7.26
Kancheepuram,2016,246.1,22.2,191.9,6.99
Kancheepuram,2017,216.0,18.5,174.7,7.4
Kancheepuram,2018,218.0,26.6,174.9,6.89
Kancheepuram,2019,259.9,23.1,193.4,6.93
Kancheepuram,2020,219.3,25.4,196.7,7.37
Kancheepuram,2021,200.9,20.1,198.2,7.24
Kancheepuram,2022,225.6,14.8,205.6,6.83
Kancheepuram,2023,221.1,21.8,162.6,7.2
Kanyakumari,2003,214.6,13.0,178.6,7.21
Kanyakumari,2004,225.4,12.7,173.8,7.58
Kanyakumari,2005,212.1,16.6,141.0,7.53
Kanyakumari,2006,242.4,15.1,182.6,7.97
Kanyakumari,2007,215.0,19.0,166.5,7.56
Kanyakumari,2008,205.0,16.1,192.2,7.49
Kanyakumari,2009,233.5,19.3,195.9,7.36
Kanyakumari,2010,178.6,16.3,160.6,7.27
Kanyakumari,2011,236.1,11.7,157.2,7.02
Kanyakumari,2012,175.7,12.9,140.1,7.9
Kanyakumari,2013,224.6,20.2,152.9,7.33
Kanyakumari,2014,177.0,17.2,171.0,7.76
Kanyakumari,2015,219.4,12.0,175.3,7.64
Kanyakumari,2016,201.2,17.2,139.2,7.79
Kanyakumari,2017,178.1,15.1,165.1,7.2
Kanyakumari,2018,226.4,17.8,160.4,7.16
Kanyakumari,2019,207.4,16.3,146.6,7.52
Kanyakumari,2020,182.5,18.5,158.3,7.01
Kanyakumari,2021,208.0,20.3,137.9,7.51
Kanyakumari,2022,212.9,19.3,161.8,7.97
Kanyakumari,2023,210.1,15.6,159.0,7.99
Karur,2003,246.3,21.6,192.9,6.59
Karur,2004,224.4,21.7,214.5,6.78
Karur,2005,281.9,21.3,228.5,6.69
Karur,2006,218.7,25.7,170.2,6.9
Karur,2007,237.2,27.2,210.0,7.3
Karur,2008,245.5,27.7,188.2,6.74
Karur,2009,273.6,26.8,204.6,6.65
Karur,2010,227.9,17.7,221.7,7.04
Karur,2011,263.9,19.7,226.9,6.58
Karur,2012,229.5,26.2,209.6,6.71
Karur,2013,235.6,18.3,177.6,6.76
Karur,2014,275.2,28.2,218.7,6.85
Karur,2015,271.8,27.0,175.3,6.68
Karur,2016,220.9,17.8,227.4,6.76
Karur,2017,236.2,17.9,184.7,7.24
Karur,2018,280.3,18.9,204.7,6.62
Karur,2019,242.1,24.8,190.4,6.53
Karur,2020,281.1,22.3,168.8,6.74
Karur,2021,265.4,26.5,212.0,6.72
Karur,2022,236.6,21.2,205.7,6.52
Karur,2023,245.6,28.1,221.6,7.33
Krishnagiri,2003,263.2,22.8,182.2,7.5
Krishnagiri,2004,257.3,17.0,194.1,7.28
Krishnagiri,2005,205.2,20.3,213.3,6.93
Krishnagiri,2006,210.8,24.1,196.6,7.0
Krishnagiri,2007,201.1,27.6,160.8,7.34
Krishnagiri,2008,246.9,25.7,216.4,7.3
Krishnagiri,2009,207.7,26.0,182.6,7.03
Krishnagiri,2010,234.0,19.6,222.4,7.48
Krishnagiri,2011,219.6,22.0,181.6,7.18
Krishnagiri,2012,247.4,21.3,160.2,6.98
Krishnagiri,2013,231.2,15.2,202.5,7.16
Krishnagiri,2014,242.4,19.1,162.6,6.99
Krishnagiri,2015,251.9,23.1,197.7,6.81
Krishnagiri,2016,246.7,26.5,161.4,6.84
Krishnagiri,2017,200.0,20.4,168.7,6.83
Krishnagiri,2018,241.1,15.5,168.7,7.41
Krishnagiri,2019,263.3,23.0,161.6,7.49
Krishnagiri,2020,256.5,19.0,203.1,7.56
Krishnagiri,2021,225.9,19.5,176.6,6.96
Krishnagiri,2022,205.4,21.8,199.9,7.58
Krishnagiri,2023,223.2,23.7,158.2,7.26
Madurai,2003,235.7,18.6,145.2,7.51
Madurai,2004,204.2,13.3,154.0,7.36
Madurai,2005,215.7,12.9,167.7,7.02
Madurai,2006,188.8,13.2,196.4,7.12
Madurai,2007,181.4,18.6,147.8,7.47
Madurai,2008,221.8,12.8,164.5,7.11
Madurai,2009,236.3,20.0,194.5,7.49
Madurai,2010,178.7,12.1,194.0,7.1
Madurai,2011,186.0,18.4,174.4,7.97
Madurai,2012,176.6,19.7,159.0,7.26
Madurai,2013,178.3,14.5,147.8,7.93
Madurai,2014,205.5,17.5,190.1,7.91
Madurai,2015,185.7,19.1,166.1,7.3
Madurai,2016,192.5,12.8,181.6,7.99
Madurai,2017,227.4,13.9,176.6,7.87
Madurai,2018,231.1,12.5,180.4,7.3
Madurai,2019,187.5,19.9,182.8,7.6
Madurai,2020,195.8,14.3,167.9,7.67
Madurai,2021,227.9,11.4,142.7,7.16
Madurai,2022,207.3,11.7,166.1,7.58
Madurai,2023,233.4,18.9,176.3,7.3
Mayiladuthurai,2003,332.8,34.0,205.8,6.98
Mayiladuthurai,2004,283.0,22.2,246.4,6.69
Mayiladuthurai,2005,294.4,24.4,238.9,7.0
Mayiladuthurai,2006,331.3,29.9,210.1,6.8
Mayiladuthurai,2007,281.4,21.4,274.6,6.78
Mayiladuthurai,2008,315.5,24.6,265.1,6.88
Mayiladuthurai,2009,325.3,28.9,219.1,6.78
Mayiladuthurai,2010,330.0,32.8,197.7,6.96
Mayiladuthurai,2011,309.3,28.9,246.1,6.6
Mayiladuthurai,2012,287.1,20.4,240.5,6.78
Mayiladuthurai,2013,276.1,25.9,268.4,6.64
Mayiladuthurai,2014,311.6,30.4,245.6,6.62
Mayiladuthurai,2015,308.4,20.4,215.2,6.91
Mayiladuthurai,2016,303.7,33.4,261.8,7.0
Mayiladuthurai,2017,298.5,33.0,217.7,6.86
Mayiladuthurai,2018,299.7,27.7,259.2,7.06
Mayiladuthurai,2019,284.8,25.1,210.9,6.76
Mayiladuthurai,2020,284.4,25.4,209.6,7.13
Mayiladuthurai,2021,291.8,31.5,229.5,7.04
Mayiladuthurai,2022,289.6,26.6,217.4,6.69
Mayiladuthurai,2023,290.2,29.2,211.5,6.92
Nagapattinam,2003,280.6,32.6,243.7,6.78
Nagapattinam,2004,327.1,20.8,205.4,7.07
Nagapattinam,2005,284.0,25.5,271.9,6.51
Nagapattinam,2006,321.0,32.8,237.8,6.52
Nagapattinam,2007,279.9,20.0,243.9,6.86
Nagapattinam,2008,292.5,23.6,257.3,6.79
Nagapattinam,2009,321.0,20.0,266.4,7.14
Nagapattinam,2010,313.9,28.3,267.5,6.63
Nagapattinam,2011,291.3,32.6,272.8,6.86
Nagapattinam,2012,293.6,29.1,270.5,7.14
Nagapattinam,2013,315.9,25.4,207.1,6.84
Nagapattinam,2014,302.1,25.9,265.2,6.95
Nagapattinam,2015,298.6,22.6,210.0,6.57
Nagapattinam,2016,307.1,29.7,197.8,6.7
Nagapattinam,2017,305.4,20.5,231.2,6.85
Nagapattinam,2018,311.9,28.4,239.8,6.88
Nagapattinam,2019,304.6,28.4,194.9,7.0
Nagapattinam,2020,317.3,19.8,244.5,6.62
Nagapattinam,2021,313.9,29.4,233.4,6.58
Nagapattinam,2022,273.9,21.3,220.8,7.15
Nagapattinam,2023,314.0,25.9,202.5,6.79
Namakkal,2003,251.6,19.4,231.6,7.02
Namakkal,2004,286.0,29.8,190.7,6.68
Namakkal,2005,267.0,28.1,191.8,6.82
Namakkal,2006,292.0,28.1,201.1,6.51
Namakkal,2007,294.7,25.6,221.3,7.38
Namakkal,2008,235.1,26.9,222.5,6.61
Namakkal,2009,233.6,18.0,213.6,6.99
Namakkal,2010,245.1,27.2,216.3,7.18
Namakkal,2011,287.3,24.7,184.9,6.64
Namakkal,2012,238.0,26.0,229.7,6.96
Namakkal,2013,289.8,29.1,200.4,6.83
Namakkal,2014,286.7,20.4,196.4,7.34
Namakkal,2015,215.7,21.4,181.6,6.81
Namakkal,2016,234.7,17.5,195.0,6.75
Namakkal,2017,213.3,24.8,171.5,7.3
Namakkal,2018,263.3,18.8,194.9,7.04
Namakkal,2019,274.3,17.2,212.4,7.1
Namakkal,2020,249.3,27.3,215.5,6.59
Namakkal,2021,222.1,27.6,164.2,7.3
Namakkal,2022,220.5,22.9,185.5,7.15
Namakkal,2023,255.6,20.7,172.3,7.01
Nilgiris,2003,268.0,22.3,224.6,6.32
Nilgiris,2004,348.8,25.7,257.6,6.54
Nilgiris,2005,293.9,30.8,272.4,6.54
Nilgiris,2006,275.8,34.6,222.7,6.21
Nilgiris,2007,266.0,32.1,232.7,6.09
Nilgiris,2008,274.3,34.7,243.0,6.61
Nilgiris,2009,261.3,27.6,215.4,6.07
Nilgiris,2010,312.3,24.2,212.3,6.58
Nilgiris,2011,275.9,21.7,225.0,6.31
Nilgiris,2012,267.4,29.6,266.0,5.98
Nilgiris,2013,275.6,27.3,262.3,5.96
Nilgiris,2014,282.6,31.1,203.7,5.86
Nilgiris,2015,332.3,30.4,276.1,6.75
Nilgiris,2016,314.2,24.7,239.3,6.16
Nilgiris,2017,318.2,33.8,226.4,6.45
Nilgiris,2018,272.9,25.6,271.3,6.65
Nilgiris,2019,333.2,29.3,226.9,6.46
Nilgiris,2020,280.7,28.6,230.6,6.41
Nilgiris,2021,287.3,29.0,215.2,5.8
Nilgiris,2022,254.9,28.3,224.0,5.84
Nilgiris,2023,290.1,21.0,246.8,6.51
Perambalur,2003,260.4,27.8,230.3,7.16
Perambalur,2004,240.0,24.1,193.1,6.83
Perambalur,2005,266.4,23.1,176.5,6.55
Perambalur,2006,280.6,26.5,183.4,6.7
Perambalur,2007,241.6,25.5,229.9,6.59
Perambalur,2008,283.6,29.5,176.9,6.6
Perambalur,2009,279.7,19.9,189.3,6.82
Perambalur,2010,232.5,22.6,233.5,6.6
Perambalur,2011,262.1,27.9,179.6,6.81
Perambalur,2012,261.8,28.9,222.9,7.06
Perambalur,2013,261.3,28.3,202.7,7.17
Perambalur,2014,234.7,18.0,193.5,6.75
Perambalur,2015,277.3,20.9,183.2,7.26
Perambalur,2016,275.4,17.9,208.2,7.36
Perambalur,2017,259.0,20.2,215.1,7.35
Perambalur,2018,237.5,25.5,194.2,7.16
Perambalur,2019,282.4,17.7,188.4,7.05
Perambalur,2020,210.4,24.0,187.1,7.17
Perambalur,2021,226.4,20.9,194.4,7.29
Perambalur,2022,267.5,20.4,194.9,6.86
Perambalur,2023,257.8,28.1,186.1,6.95
Pudukkottai,2003,198.3,16.3,148.7,7.04
Pudukkottai,2004,238.2,13.5,141.1,7.51
Pudukkottai,2005,248.3,12.0,149.8,7.71
Pudukkottai,2006,215.3,21.3,162.3,7.87
Pudukkottai,2007,228.5,17.1,186.4,7.73
Pudukkottai,2008,195.1,19.8,138.1,7.61
Pudukkottai,2009,180.6,14.7,139.9,7.62
Pudukkottai,2010,185.9,19.1,142.9,7.46
Pudukkottai,2011,232.0,20.0,163.7,7.18
Pudukkottai,2012,219.0,19.1,178.3,7.09
Pudukkottai,2013,240.9,15.0,147.1,7.9
Pudukkottai,2014,212.3,21.2,183.8,7.04
Pudukkottai,2015,220.4,20.0,166.2,7.23
Pudukkottai,2016,204.0,20.4,184.8,7.46
Pudukkottai,2017,212.7,14.6,155.6,7.69
Pudukkottai,2018,237.8,16.9,146.3,7.3
Pudukkottai,2019,230.3,17.6,181.9,7.34
Pudukkottai,2020,173.3,14.3,177.7,7.49
Pudukkottai,2021,193.4,19.2,142.2,7.28
Pudukkottai,2022,202.8,14.5,133.0,7.63
Pudukkottai,2023,228.7,17.1,136.8,7.85
Ramanathapuram,2003,233.6,19.8,180.1,7.18
Ramanathapuram,2004,219.3,15.7,182.9,7.62
Ramanathapuram,2005,212.2,18.2,168.4,7.79
Ramanathapuram,2006,206.8,15.6,181.8,7.85
Ramanathapuram,2007,245.0,15.7,174.0,7.83
Ramanathapuram,2008,245.8,15.2,140.4,7.08
Ramanathapuram,2009,187.4,20.2,172.9,7.54
Ramanathapuram,2010,198.5,16.0,176.1,7.11
Ramanathapuram,2011,219.3,18.6,178.6,7.42
Ramanathapuram,2012,178.2,16.0,179.3,7.19
Ramanathapuram,2013,196.6,19.1,170.5,7.53
Ramanathapuram,2014,210.0,15.0,173.2,7.97
Ramanathapuram,2015,235.5,13.0,154.5,7.35
Ramanathapuram,2016,191.2,18.3,142.0,7.61
Ramanathapuram,2017,224.6,11.8,145.4,7.7
Ramanathapuram,2018,238.7,14.9,174.8,7.67
Ramanathapuram,2019,177.2,17.6,146.7,7.63
Ramanathapuram,2020,224.4,16.4,159.2,7.16
Ramanathapuram,2021,224.0,12.1,160.2,7.74
Ramanathapuram,2022,214.5,18.0,175.4,7.84
Ramanathapuram,2023,230.0,12.7,173.2,7.01
Ranipet,2003,266.0,17.7,218.9,7.38
Ranipet,2004,209.7,24.0,173.2,7.16
Ranipet,2005,227.4,19.4,226.0,7.06
Ranipet,2006,277.1,21.7,207.0,7.2
Ranipet,2007,214.6,15.6,182.0,7.48
Ranipet,2008,207.7,25.2,219.3,7.32
Ranipet,2009,263.3,24.6,216.4,7.6
Ranipet,2010,272.7,25.2,198.2,7.37
Ranipet,2011,250.4,17.4,184.8,7.59
Ranipet,2012,201.2,24.3,207.9,6.95
Ranipet,2013,215.4,25.9,172.9,6.96
Ranipet,2014,215.7,20.9,171.7,7.19
Ranipet,2015,218.8,20.4,170.4,7.46
Ranipet,2016,202.3,19.7,208.1,7.26
Ranipet,2017,197.6,22.0,188.4,7.17
Ranipet,2018,228.5,19.6,197.7,7.16
Ranipet,2019,209.3,25.6,169.2,7.21
Ranipet,2020,253.3,16.3,153.9,7.12
Ranipet,2021,246.8,19.9,197.3,7.58
Ranipet,2022,189.8,21.0,203.0,7.27
Ranipet,2023,204.1,24.7,207.8,7.06
Salem,2003,271.3,24.8,203.8,6.64
Salem,2004,249.3,27.6,202.2,6.92
Salem,2005,264.2,26.7,227.0,6.74
Salem,2006,229.2,25.0,183.0,7.17
Salem,2007,219.0,29.4,169.3,6.73
Salem,2008,287.2,24.2,235.4,7.02
Salem,2009,241.9,20.9,185.8,7.02
Salem,2010,277.9,21.2,176.3,6.88
Salem,2011,283.4,24.4,209.8,6.76
Salem,2012,284.7,22.6,192.2,6.83
Salem,2013,241.8,19.2,195.5,7.22
Salem,2014,230.0,19.9,184.7,7.06
Salem,2015,241.2,21.4,171.5,6.95
Salem,2016,269.6,27.1,191.3,6.61
Salem,2017,253.1,22.0,224.4,7.38
Salem,2018,234.5,26.3,206.3,6.59
Salem,2019,211.1,19.4,227.0,7.37
Salem,2020,279.8,26.3,191.8,7.13
Salem,2021,248.0,24.8,190.7,7.15
Salem,2022,248.3,17.1,217.9,6.85
Salem,2023,276.5,19.3,186.5,7.11
Sivaganga,2003,210.8,12.6,163.0,7.61
Sivaganga,2004,245.7,18.9,197.5,7.48
Sivaganga,2005,199.7,14.3,164.3,7.49
Sivaganga,2006,241.3,20.6,173.7,7.58
Sivaganga,2007,223.2,12.7,151.2,7.76
Sivaganga,2008,178.1,13.0,192.7,7.69
Sivaganga,2009,197.0,13.6,137.6,7.82
Sivaganga,2010,199.0,14.2,148.7,7.94
Sivaganga,2011,218.8,18.2,168.5,7.2
Sivaganga,2012,215.5,17.5,193.1,7.2
Sivaganga,2013,229.5,11.8,166.7,7.19
Sivaganga,2014,229.9,13.1,154.2,7.61
Sivaganga,2015,225.1,15.2,145.3,7.66
Sivaganga,2016,190.2,11.7,187.1,7.75
Sivaganga,2017,176.4,13.7,162.1,8.0
Sivaganga,2018,191.3,18.4,183.9,7.58
Sivaganga,2019,192.0,17.9,146.6,7.76
Sivaganga,2020,225.8,13.5,134.1,7.09
Sivaganga,2021,232.1,15.2,171.4,7.82
Sivaganga,2022,191.0,16.4,161.1,7.34
Sivaganga,2023,212.1,12.4,176.0,7.11
Tenkasi,2003,197.8,21.2,198.0,7.0
Tenkasi,2004,236.6,14.4,189.0,7.94
Tenkasi,2005,179.2,15.6,156.0,7.74
Tenkasi,2006,210.1,18.7,185.3,7.7
Tenkasi,2007,243.1,18.6,181.9,7.72
Tenkasi,2008,178.2,14.9,174.3,7.45
Tenkasi,2009,242.4,14.5,166.3,7.56
Tenkasi,2010,177.8,13.9,151.9,7.76
Tenkasi,2011,189.9,16.7,139.0,7.79
Tenkasi,2012,185.1,13.2,143.8,7.41
Tenkasi,2013,189.8,20.6,140.1,7.46
Tenkasi,2014,202.9,15.5,169.4,7.12
Tenkasi,2015,192.8,17.4,140.4,7.7
Tenkasi,2016,175.5,14.8,176.7,7.53
Tenkasi,2017,185.4,17.9,171.7,7.36
Tenkasi,2018,192.9,18.1,140.6,7.75
Tenkasi,2019,173.6,14.5,173.9,7.25
Tenkasi,2020,188.2,18.6,142.4,7.85
Tenkasi,2021,191.8,18.8,177.1,7.93
Tenkasi,2022,200.6,17.9,181.8,7.63
Tenkasi,2023,174.5,16.7,183.0,7.17
Thanjavur,2003,282.5,26.2,215.7,6.68
Thanjavur,2004,300.7,26.3,244.3,7.09
Thanjavur,2005,307.0,20.4,243.9,6.63
Thanjavur,2006,294.8,27.1,274.0,7.02
Thanjavur,2007,326.4,33.4,271.9,7.02
Thanjavur,2008,300.8,22.7,222.3,6.8
Thanjavur,2009,287.3,29.0,254.4,6.54
Thanjavur,2010,278.8,28.8,225.3,6.74
Thanjavur,2011,316.3,22.6,237.8,7.04
Thanjavur,2012,287.0,23.4,202.5,6.68
Thanjavur,2013,286.4,32.1,259.0,6.71
Thanjavur,2014,272.6,29.7,248.5,7.09
Thanjavur,2015,290.3,33.3,235.2,7.02
Thanjavur,2016,270.5,30.7,263.9,6.59
